,survey_id,DOW,SURVEY_START,lag0_before,lag0_after,acres_lag0_before,acres_lag0_after,date_lag0_before,date_lag0_after,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,Year
1,409,10000200,5/28/2019,0,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2019
2,410,10000200,6/25/2019,0,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2019
4,474,10001300,5/22/2019,0,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2019
5,475,10001300,6/14/2019,0,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2019
7,1371,27002800,5/4/2019,1,0,7.4,NA,5/1/2019,NA,1,1,0,0,0,0,0,0,2019
8,1444,27004400,5/2/2021,1,0,2.1,NA,5/1/2021,NA,1,1,0,0,0,0,0,0,2021
9,1445,27004400,5/15/2022,1,0,2.1,NA,5/1/2022,NA,1,1,1,0,0,0,0,0,2022
10,1451,27004500,5/4/2019,1,0,2,NA,5/1/2019,NA,1,1,0,0,0,0,0,0,2019
11,1453,27004500,5/2/2021,1,0,2,NA,5/1/2021,NA,1,1,1,1,0,0,0,0,2021
12,1454,27004500,5/15/2022,1,0,2,NA,5/1/2022,NA,1,1,1,1,1,0,0,0,2022
13,1497,27005500,5/5/2019,1,0,3.2,NA,5/1/2019,NA,1,0,0,0,0,0,0,0,2019
14,1498,27005500,5/2/2020,1,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2020
15,1500,27005500,5/15/2022,1,0,3.2,NA,5/1/2022,NA,0,1,1,1,0,0,0,0,2022
16,1604,27007800,5/25/2020,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,2020
17,1605,27007800,6/23/2020,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,2020
19,1607,27007800,6/9/2022,0,0,NA,NA,NA,NA,0,0,0,0,1,0,0,0,2022
21,1651,27009800,6/16/2022,1,0,20.89,NA,5/1/2022,NA,1,1,1,1,1,1,0,0,2022
23,2072,27066900,5/15/2022,1,0,1.2,NA,5/1/2022,NA,0,1,1,0,0,0,0,0,2022
24,3569,70002200,5/18/2021,1,0,145,NA,4/7/2021,NA,1,1,0,0,0,0,0,0,2021
