,survey_id,DOW,SURVEY_START,lag0_before,lag0_after,acres_lag0_before,acres_lag0_after,date_lag0_before,date_lag0_after,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8
1,28,2005300,7/9/2018,0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0
2,29,2005300,7/10/2019,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0
3,30,2005300,8/19/2019,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0
4,31,2005300,7/23/2020,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0
5,32,2005300,8/24/2020,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0
6,34,2008400,8/14/2017,1,0,2.12,NA,5/1/2017,NA,0,0,0,0,0,0,0,0
7,35,2008400,8/14/2018,1,0,13.8,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
8,63,10000200,6/15/2017,1,0,20,NA,5/1/2017,NA,0,0,0,0,0,0,0,0
9,64,10000200,9/6/2017,1,0,20,NA,5/1/2017,NA,0,0,0,0,0,0,0,0
10,65,10000200,7/11/2018,1,0,15.7,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
11,66,10000200,8/22/2018,1,0,15.7,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
12,68,10000200,7/2/2020,1,0,16,NA,5/1/2020,NA,0,1,1,0,0,0,0,0
13,69,10000200,8/25/2020,1,0,16,NA,5/1/2020,NA,0,1,1,0,0,0,0,0
14,70,10000200,6/21/2022,1,0,16.7,NA,5/1/2022,NA,1,1,0,1,1,0,0,0
15,71,10000200,8/22/2022,1,0,16.7,NA,5/1/2022,NA,1,1,0,1,1,0,0,0
16,72,10000200,5/18/2023,1,0,9,NA,5/17/2023,NA,1,1,1,0,1,1,0,0
17,73,10000200,6/19/2023,1,0,9,NA,5/17/2023,NA,1,1,1,0,1,1,0,0
18,74,10000200,8/22/2023,1,0,9,NA,5/17/2023,NA,1,1,1,0,1,1,0,0
19,76,10000900,7/10/2025,1,0,50.1,NA,5/9/2025,NA,1,1,1,1,1,1,1,1
20,83,10001300,6/12/2017,1,0,9,NA,5/1/2017,NA,0,0,0,0,0,0,0,0
21,84,10001300,6/21/2018,1,0,7.73,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
22,85,10001300,5/18/2020,0,0,NA,NA,NA,NA,0,1,1,0,0,0,0,0
23,86,10001300,6/18/2020,0,0,NA,NA,NA,NA,0,1,1,0,0,0,0,0
24,87,10001300,8/13/2020,0,0,NA,NA,NA,NA,0,1,1,0,0,0,0,0
25,88,10001300,6/28/2022,1,0,8.25,NA,5/1/2022,NA,1,0,0,1,1,0,0,0
26,89,10001300,8/15/2022,1,0,8.25,NA,5/1/2022,NA,1,0,0,1,1,0,0,0
27,90,10001300,5/15/2023,0,1,NA,5.35,NA,5/17/2023,1,1,0,0,1,1,0,0
28,91,10001300,6/13/2023,1,0,5.35,NA,5/17/2023,NA,1,1,0,0,1,1,0,0
