,...1,Lake.ID,Year,Lake.x,Trt,YrsTrt,PrevAUGSecchi,Snow,APRMAYPcri,JUNPcri,DIFF.4.6,County,Lake.area.acre,Proportion.littoral,Max.depth,Acres_Chem,litt.ac,perc.lit.chem,Ice_off,secchi,secchi.e,phosphorus,phosphorus.e,SURVEY_START,native_rich_mean,survey_native_rich,lag0,trt_acres_lag0,trt_date_lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,nsamp
5,4,2005300,2020,Ham,0,1,2.4,4.7,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,95.7804594,2.716038095,2.90448,0.0217,0.02175,7/23/2020,2.949152542,14,0,NA,NA,0,0,1,0,0,0,0,0,59
6,4,2005300,2020,Ham,0,1,2.4,4.7,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,95.7804594,2.716038095,2.90448,0.0217,0.02175,8/24/2020,2.518518519,18,0,NA,NA,0,0,1,0,0,0,0,0,135
3,2,2005300,2019,Ham,0,1,2.07,5.5,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,101.9364162,2.831578947,3.5375,0.0253,0.025,7/10/2019,1.761904762,12,0,NA,NA,0,1,0,0,0,0,0,0,126
4,2,2005300,2019,Ham,0,1,2.07,5.5,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,101.9364162,2.831578947,3.5375,0.0253,0.025,8/19/2019,1.969465649,12,0,NA,NA,0,1,0,0,0,0,0,0,131
1,1,2005300,2018,Ham,0,1,2.1,3.1,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,113.8032234,2.290909091,2.566666667,NA,NA,7/9/2018,1.62406015,11,0,NA,NA,1,0,0,0,0,0,0,0,133
2,1,2005300,2018,Ham,0,1,2.1,3.1,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,113.8032234,2.290909091,2.566666667,NA,NA,8/8/2018,1.838028169,15,0,NA,NA,1,0,0,0,0,0,0,0,142
7,6,2008400,2017,Crooked,1,1,2.05,1.3,NA,NA,NA,NA,84.017,0.731,26,2.12,84.02,2.52320876,81.63437773,2.328571429,3.05,0.0271,0.02775,8/14/2017,1.738255034,11,1,2.12,5/1/2017,0,0,0,0,0,0,0,0,149
8,7,2008400,2018,Crooked,1,2,2.1,3.1,NA,NA,NA,NA,84.017,0.731,26,13.8,84.02,16.4246608,113.7171976,2.355555556,3.033333333,NA,NA,8/14/2018,1.893333333,14,1,13.8,5/1/2018,1,0,0,0,0,0,0,0,150
17,14,10000200,2022,Riley,1,5,4.5,3.8,NA,0.29,NA,NA,110.083,0.3718,49,16.7,110.08,15.17078488,107.9380451,3.995,4.066666667,0.02996,0.025777778,6/21/2022,1.685393258,10,1,16.7,5/1/2022,1,1,0,1,1,0,0,0,178
18,14,10000200,2022,Riley,1,5,4.5,3.8,NA,0.29,NA,NA,110.083,0.3718,49,16.7,110.08,15.17078488,107.9380451,3.995,4.066666667,0.02996,0.025777778,8/22/2022,1.692307692,9,1,16.7,5/1/2022,1,1,0,1,1,0,0,0,182
