Lake.ID,Lake.x,Year,litt.ac,Lake.area.acre,Proportion.littoral,Max.depth,trt_date_lag0,trt_acres_lag0,cytrt,yutrt,Trt,YrsTrt,Acres_Chem,perc.lit.chem,SURVEY_START,native_rich_mean,native_vegetated,survey_native_rich,nsamp,lag1_APM_acres,lag1_APM_perc_lit,secchi,secchi.e,secchi.sc,secchi.e.sc,phosphorus,phosphorus.e,phosphorus.sc,phosphorus.e.sc,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,APRMAYPcri,JUNPcri,DIFF.4.6,
27067700,NA,2024,4,4,NA,NA,4/25/2024,0.59,0,2,0,2,0,0,4/8/2024,0.16,0.16,2,25,12.04,301,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0.16,NA,NA,
27067700,NA,2023,4,4,NA,NA,NA,NA,0,1,0,1,0,0,5/13/2023,0.64,0.64,1,25,12.04,301,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,NA,NA,
27005500,NA,2021,6,6,NA,NA,NA,NA,0,1,0,2,0,0,5/2/2021,0.632653061,0.571428571,3,49,21,350,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,NA,NA,
27027500,NA,2025,6,6,NA,NA,5/2/2025,3.5,0,4,0,2,0,0,4/26/2025,0.925,0.575,6,40,0.01,0.166666667,1.025,1.1,-0.763764399,-1.005415243,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0.4,NA,NA,
27027500,NA,2023,6,6,NA,NA,NA,NA,0,2,0,1,0,0,5/13/2023,1.3,0.8,6,40,0.05,0.833333333,1.25,1.25,-0.507924157,-0.872681351,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,NA,NA,
27027500,NA,2021,6,6,NA,NA,5/14/2021,1.28,0,9,0,1,0,0,5/2/2021,1.375,0.75,6,40,0.01,0.166666667,1.59,1.53,-0.121321123,-0.624911418,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.22,NA,NA,
27066900,NA,2023,6,6,NA,NA,NA,NA,0,1,0,3,0,0,5/13/2023,0.224489796,0.224489796,2,49,5.7,95,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,0,0,0,0,0,NA,NA,
27066900,NA,2021,6,6,NA,NA,NA,NA,0,1,0,2,0,0,5/2/2021,0.632653061,0.571428571,3,49,5.7,95,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,NA,NA,
27066900,NA,2024,6,6,NA,NA,4/25/2024,1.17,0,2,0,4,0,0,4/8/2024,1.571428571,0.897959184,4,49,5.7,95,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0,0,0.1,NA,NA,
27009000,Holiday,2025,8,8,1,NA,4/30/2025,4.2,2,0,1,2,4.2,52.5,6/10/2025,0.240384615,0.201923077,3,104,NA,0,0.696,1.12,-1.137859687,-0.987717391,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0.01,NA,
