Lake.ID,Lake.x,lake_year,Year,SURVEY_START,litt.ac,Lake.area.acre,Proportion.littoral,Max.depth,Trt,YrsTrt,cytrt,yutrt,perc.lit.chem,trt_date_lag0,trt_acres_lag0,Acres_Chem,native_rich_mean,native_vegetated,survey_native_rich,nsamp,APM_permitted_acres,APM_perc_lit,secchi,secchi.sc,secchi.e,secchi.e.sc,phosphorus,phosphorus.e,phosphorus.sc,phosphorus.e.sc,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,APRMAYPcri,JUNPcri,DIFF.4.6,obs
2005300,Ham,Ham2020,2020,8/24/2020,190.45,190.45,0.8936,22,0,1,0,3,0,NA,NA,0,2.518518519,0.854961832,18,135,2.74,1.44,2.716038095,0.814159135,2.90448,0.214500006,0.0217,0.02175,-0.20706234,-0.208742601,0,0,0,1,0,0,0,0,0,NA,NA,NA,2
2005300,Ham,Ham2020,2020,7/23/2020,190.45,190.45,0.8936,22,0,1,0,3,0,NA,NA,0,2.949152542,1,14,59,2.74,1.44,2.716038095,0.814159135,2.90448,0.214500006,0.0217,0.02175,-0.20706234,-0.208742601,0,0,0,1,0,0,0,0,0,NA,NA,NA,1
2005300,Ham,Ham2019,2019,8/19/2019,190.45,190.45,0.8936,22,0,1,0,2,0,NA,NA,0,1.969465649,0.857142857,12,131,2.2,1.16,2.831578947,0.926647218,3.5375,0.700213085,0.0253,0.025,-0.2069628,-0.208562496,0,0,1,0,0,0,0,0,0,NA,NA,NA,4
2005300,Ham,Ham2019,2019,7/10/2019,190.45,190.45,0.8936,22,0,1,0,2,0,NA,NA,0,1.761904762,0.857142857,12,126,2.2,1.16,2.831578947,0.926647218,3.5375,0.700213085,0.0253,0.025,-0.2069628,-0.208562496,0,0,1,0,0,0,0,0,0,NA,NA,NA,3
2005300,Ham,Ham2018,2018,8/8/2018,190.45,190.45,0.8936,22,0,1,0,1,0,NA,NA,0,1.838028169,0.774647887,15,142,1.94,1.02,2.290909091,0.400262702,2.566666667,-0.044702474,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,NA,NA,NA,6
2005300,Ham,Ham2018,2018,7/9/2018,190.45,190.45,0.8936,22,0,1,0,1,0,NA,NA,0,1.62406015,0.812030075,11,133,1.94,1.02,2.290909091,0.400262702,2.566666667,-0.044702474,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,NA,NA,NA,5
2008400,Crooked,Crooked2018,2018,8/14/2018,84.02,84.02,0.731,26,1,2,2,0,16.4246608,5/1/2018,13.8,13.8,1.893333333,0.793333333,14,150,0.02,0.02,2.355555556,0.463201107,3.033333333,0.313368524,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,NA,NA,8
2008400,Crooked,Crooked2017,2017,8/14/2017,84.02,84.02,0.731,26,1,1,1,0,2.52320876,5/1/2017,2.12,2.12,1.738255034,0.825503356,11,149,0.02,0.02,2.328571429,0.436929943,3.05,0.326156774,0.0271,0.02775,-0.20691303,-0.208410101,1,0,0,0,0,0,0,0,0,NA,NA,NA,7
10000200,Riley,Riley2023,2023,8/22/2023,110.08,110.08,0.3718,49,1,6,4,0,8.175872093,5/17/2023,9,9,1.298245614,0.842105263,8,171,5.75,5.22,3.856521739,1.924509424,4.54,1.469426319,0.033291667,0.023833333,-0.206741832,-0.208627149,1,1,1,1,0,1,1,0,0,0.26,0.29,0.03,12
10000200,Riley,Riley2022,2022,8/22/2022,110.08,110.08,0.3718,49,1,5,3,0,15.17078488,5/1/2022,16.7,16.7,1.692307692,0.983516484,9,182,4.59,4.17,3.995,2.059328874,4.066666667,1.106240021,0.02996,0.025777778,-0.206833952,-0.208519395,1,1,1,0,1,1,0,0,0,NA,0.29,NA,9
10000200,Riley,Riley2020,2020,8/25/2020,110.08,110.08,0.3718,49,1,3,1,0,14.53488372,5/1/2020,16,16,0.916666667,0.733333333,8,180,4.27,3.88,4.655555556,2.702431523,4.266666667,1.25969902,0.030703704,0.048444444,-0.206813388,-0.207263283,1,0,1,1,0,0,0,0,0,0.3,NA,NA,11
10000200,Riley,Riley2020,2020,7/2/2020,110.08,110.08,0.3718,49,1,3,1,0,14.53488372,5/1/2020,16,16,0.730769231,0.637362637,5,182,4.27,3.88,4.655555556,2.702431523,4.266666667,1.25969902,0.030703704,0.048444444,-0.206813388,-0.207263283,1,0,1,1,0,0,0,0,0,0.3,NA,NA,10
10000200,Riley,Riley2018,2018,8/22/2018,110.08,110.08,0.3718,49,1,2,2,0,14.26235465,5/1/2018,15.7,15.7,1.144508671,0.74566474,7,173,4.06,3.69,2.2,0.311755571,4.555,1.480935744,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,NA,NA,15
