Lake.ID,Lake.x,Year,litt.ac,SURVEY_START,Trt,YrsTrt,Snow,APRMAYPcri,JUNPcri,DIFF.4.6,County,Lake.area.acre,Proportion.littoral,Max.depth,Acres_Chem,perc.lit.chem,Ice_off,phosphorus,phosphorus.e,native_rich_mean,native_vegetated,survey_native_rich,trt_acres_lag0,trt_date_lag0,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,nsamp,Snow.sc,Ice_off.sc,secchi.sc,secchi.e.sc,phosphorus.sc,phosphorus.e.sc,lake_year,cytrt,yutrt,obs,secchi,secchi.e,NativeFOO_x_Richness
41004300,Dead Coon,2012,2649.41,6/12/2012,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,0,0,68.31084135,NA,NA,0.00862069,0.00862069,2,0,NA,0,0,0,0,0,0,0,0,0,348,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
27007000,,2013,110.62,6/6/2013,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,0,0,116.8551542,NA,NA,1.346368715,0.768156425,6,0,NA,0,0,0,0,0,0,0,0,0,358,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1.842857143,2.52,NA
27007000,,2014,110.62,5/20/2014,NA,NA,9.6,NA,NA,NA,NA,NA,NA,NA,0,0,106.3571015,NA,NA,1.011049724,0.662983425,9,0,NA,0,0,0,0,0,0,0,0,0,181,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3.125,4.64,NA
27007000,,2014,110.62,6/12/2014,NA,NA,9.6,NA,NA,NA,NA,NA,NA,NA,0,0,106.3571015,NA,NA,1.559782609,0.755434783,9,0,NA,0,0,0,0,0,0,0,0,0,184,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3.125,4.64,NA
66003800,French,2014,379.03,6/16/2014,NA,NA,9.6,NA,NA,NA,NA,NA,NA,NA,0,0,104.303993,NA,NA,0.658536585,0.43902439,8,0,NA,0,0,0,0,0,0,0,0,0,123,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
40000200,Upper Sakatah,2015,899.57,4/13/2015,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,0,0,85.35279048,NA,NA,0.957142857,0.885714286,3,0,NA,0,0,0,0,0,0,0,0,0,70,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
27007000,,2015,110.62,4/28/2015,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,0,0,87.3956651,NA,NA,1.082872928,0.685082873,8,0,NA,0,0,0,0,0,0,0,0,0,181,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2.646153846,4.75,NA
27007000,,2015,110.62,4/29/2015,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,0,0,87.3956651,NA,NA,1.005128205,0.635897436,8,0,NA,0,0,0,0,0,0,0,0,0,195,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2.646153846,4.75,NA
70005000,McMahon,2015,162.26,5/15/2015,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,0,0,86.10624105,NA,NA,0.354330709,0.236220472,4,0,NA,0,1,0,0,0,0,0,0,0,127,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA
40000200,Upper Sakatah,2015,899.57,6/4/2015,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,0,0,85.35279048,NA,NA,1.527777778,1,5,0,NA,0,0,0,0,0,0,0,0,0,36,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
