"","Lake.ID","Year","Lake.x","Trt","YrsTrt","PrevAUGSecchi","IceIn","IceOut","IceCover","Snow","APRMAYPcri","APRMAY3.7","APRMAYDIFF","APRMAYRelDens","APRMAYRelDensall","JUNPcri","JUN3.7","JUNDIFF","JUNRelDens","JUNRelDensall","DIFF.4.6","DIFF.3.7","DIFFRelDens","County","Latitude.y","Longitude","Ecoregion","Lake.area..ha.","Littoral.area..ha.","Proportion.littoral","Max.depth..m.","Acres_Chem","Acres_Harvested","litt.ac","perc.lit.chem"
"1","02000900",2006,"reshanau","T",2,0.3,"30-Nov","7-Apr",129,7.6,0.39,0.39,0,NA,NA,0,0,0,NA,NA,-0.39,NA,NA,"Anoka",45.152,-93.096,"NCHF",136,136,1,"3",282,NA,336.0628,0.839128877102732
"2","02000900",2007,"reshanau","T",3,0.3,"1-Dec","30-Mar",120,10.9,0.95,0.95,0,NA,NA,0,0,0,NA,NA,-0.95,NA,NA,"Anoka",45.152,-93.096,"NCHF",136,136,1,"3",282,NA,336.0628,0.839128877102732
"3","02000900",2008,"reshanau","T",4,0.5,"28-Nov","22-Apr",147,10.7,0.72,0.72,0,1.09,0.78,0,0,0,NA,NA,-0.72,-0.72,NA,"Anoka",45.152,-93.096,"NCHF",136,136,1,"3",282,NA,336.0628,0.839128877102732
"4","02000900",2009,"reshanau","T",5,0.3,"22-Nov","9-Apr",139,12.9,0.31,0.31,0,1.05,0.78,0.09,0.09,0,0.5,0.05,-0.22,-0.22,-0.55,"Anoka",45.152,-93.096,"NCHF",136,136,1,"3",282,NA,336.0628,0.839128877102732
"5","02000900",2010,"reshanau","U",0,0.4,"6-Dec","31-Mar",116,22.6,0.46,0.46,0,1.13,0.52,0.73,0.73,0,2.56,1.87,0.27,0.27,1.43,"Anoka",45.152,-93.096,"NCHF",136,136,1,"3",0,NA,336.0628,0
"6","02000900",2011,"reshanau","T",1,0.5,"24-Nov","12-Apr",140,31.1,0.65,0.65,0,1.58,1.02,0.17,0.17,0,1.05,0.18,-0.48,-0.48,-0.53,"Anoka",45.152,-93.096,"NCHF",136,136,1,"3",49,NA,336.0628,0.14580608148239
"7","02000900",2012,"reshanau","T",2,0.5,"30-Nov","18-Mar",110,2.1,0.48,0.48,0,1.08,0.52,0.03,0.03,0,1,0.03,-0.45,-0.45,-0.08,"Anoka",45.152,-93.096,"NCHF",136,136,1,"3",48,NA,336.0628,0.142830447166422
"8","02000900",2013,"reshanau","T",0,0.3,"10-Dec","1-May",143,18.4,0.06,0.06,0,1,0.06,0.05,0.05,0,1,0.05,-0.01,-0.01,0,"Anoka",45.152,-93.096,"NCHF",136,136,1,"3",48,NA,336.0628,0.142830447166422
"9","02000900",2014,"reshanau","T",1,0.3,"23-Nov","23-Apr",152,30.2,0.1,0.1,0,1,0.1,0,0,0,NA,NA,-0.1,-0.1,NA,"Anoka",45.152,-93.096,"NCHF",136,136,1,"3",48,NA,336.0628,0.142830447166422
"10","02000900",2015,"reshanau","T",2,NA,"13-Nov","31-Mar",139,6,0.23,0.23,0,NA,NA,0.13,0.13,0,1.2,0.05,-0.1,-0.1,NA,"Anoka",45.152,-93.096,"NCHF",136,136,1,"3",48,NA,336.0628,0.142830447166422
"11","10000200",2011,"riley","U",0,1,"25-Nov","10-Apr",137,24.8,NA,NA,NA,NA,NA,0.31,0.37,-0.06,2.11,0.67,NA,NA,NA,"Carver",44.836,-93.522,"NCHF",120,44,0.366666666666667,"14.9",0,NA,108.7262,0
"12","10000200",2012,"riley","U",0,0.9,"4-Dec","18-Mar",106,1.9,0.62,0.71,-0.09,3.72,2.31,0.25,0.29,-0.04,1.84,0.46,-0.37,-0.42,-1.88,"Carver",44.836,-93.522,"NCHF",120,44,0.366666666666667,"14.9",0,NA,108.7262,0
"13","10000200",2013,"riley","T",1,0.8,"3-Dec","28-Apr",147,8.9,0.53,0.59,-0.06,2.84,1.51,0.18,0.2,-0.02,1.23,0.22,-0.35,-0.39,-1.61,"Carver",44.836,-93.522,"NCHF",120,44,0.366666666666667,"14.9",35,NA,108.7262,0.321909530545535
