"datemv","datasourcemv","lknamemv","Lake.ID","taxon","litfoc","rd","maxdep","totfoc","tnsamp","lnsamp","lslsamp","lslfoc"
"2001-06-12","sblood","kohlman","62000600","ceratophyllum.demersum",0.642335766423358,1,3.048,0.642335766423358,137,137,136,0.647058823529412
"2001-06-12","sblood","kohlman","62000600","potamogeton.crispus",0.0145985401459854,1,2.4384,0.0145985401459854,137,137,136,0.0147058823529412
"2001-06-12","sblood","kohlman","62000600","myriophyllum.spicatum",0.496350364963504,1,3.048,0.496350364963504,137,137,136,0.5
"2001-06-12","sblood","kohlman","62000600","stuckenia.pectinata",0.0437956204379562,1,2.1336,0.0437956204379562,137,137,136,0.0441176470588235
"2001-06-12","sblood","kohlman","62000600","lemna.minor",0.0218978102189781,1,1.2192,0.0218978102189781,137,137,136,0.0220588235294118
"2001-06-12","sblood","kohlman","62000600","potamogeton.zosteriformis",0.072992700729927,1,2.37744,0.072992700729927,137,137,136,0.0735294117647059
"2001-06-12","sblood","kohlman","62000600","elodea.spp",0.0875912408759124,1,2.1336,0.0875912408759124,137,137,136,0.0882352941176471
"2001-06-12","sblood","kohlman","62000600","wolffia.spp",0.0145985401459854,1,1.12776,0.0145985401459854,137,137,136,0.0147058823529412
"2001-06-12","sblood","kohlman","62000600","unk.p.cf.pusillus",0.0948905109489051,1,1.8288,0.0948905109489051,137,137,136,0.0955882352941177
"2001-06-12","sblood","kohlman","62000600","nymphaea.spp",0.116788321167883,1,1.9812,0.116788321167883,137,137,136,0.117647058823529
"2001-06-12","sblood","kohlman","62000600","nuphar.spp",0.0145985401459854,1,1.524,0.0145985401459854,137,137,136,0.0147058823529412
"2001-06-12","sblood","kohlman","62000600","eleocharis.spp",0.0072992700729927,1,0.6096,0.0072992700729927,137,137,136,0.00735294117647059
"2001-06-12","sblood","kohlman","62000600","typha.spp",0.0072992700729927,1,0.70104,0.0072992700729927,137,137,136,0.00735294117647059
"2001-06-12","sblood","kohlman","62000600","zannichellia.palustris",0.0072992700729927,1,1.0668,0.0072992700729927,137,137,136,0.00735294117647059
"2001-06-12","sblood","kohlman","62000600","poaceae",0.0072992700729927,1,0.6096,0.0072992700729927,137,137,136,0.00735294117647059
"2001-08-16","sblood","kohlman","62000600","ceratophyllum.demersum",0.698529411764706,1,2.4384,0.698529411764706,136,136,136,0.698529411764706
"2001-08-16","sblood","kohlman","62000600","potamogeton.crispus",0.0147058823529412,1,0.6096,0.0147058823529412,136,136,136,0.0147058823529412
"2001-08-16","sblood","kohlman","62000600","myriophyllum.spicatum",0.573529411764706,1,2.4384,0.573529411764706,136,136,136,0.573529411764706
"2001-08-16","sblood","kohlman","62000600","spirodela.polyrhiza",0.0588235294117647,1,0.94488,0.0588235294117647,136,136,136,0.0588235294117647
"2001-08-16","sblood","kohlman","62000600","chara.spp",0.00735294117647059,1,0.762,0.00735294117647059,136,136,136,0.00735294117647059
"2001-08-16","sblood","kohlman","62000600","stuckenia.pectinata",0.0735294117647059,1,2.286,0.0735294117647059,136,136,136,0.0735294117647059
"2001-08-16","sblood","kohlman","62000600","najas.spp",0.0147058823529412,1,0.6096,0.0147058823529412,136,136,136,0.0147058823529412
"2001-08-16","sblood","kohlman","62000600","lemna.minor",0.191176470588235,1,1.0668,0.191176470588235,136,136,136,0.191176470588235
"2001-08-16","sblood","kohlman","62000600","potamogeton.zosteriformis",0.227941176470588,1,1.524,0.227941176470588,136,136,136,0.227941176470588
"2001-08-16","sblood","kohlman","62000600","elodea.spp",0.154411764705882,1,1.0668,0.154411764705882,136,136,136,0.154411764705882
"2001-08-16","sblood","kohlman","62000600","wolffia.spp",0.0735294117647059,1,0.94488,0.0735294117647059,136,136,136,0.0735294117647059
"2001-08-16","sblood","kohlman","62000600","unk.p.cf.pusillus",0.176470588235294,1,0.94488,0.176470588235294,136,136,136,0.176470588235294
"2001-08-16","sblood","kohlman","62000600","nymphaea.spp",0.183823529411765,1,1.524,0.183823529411765,136,136,136,0.183823529411765
"2001-08-16","sblood","kohlman","62000600","nuphar.spp",0.0147058823529412,1,0.9144,0.0147058823529412,136,136,136,0.0147058823529412
"2001-08-16","sblood","kohlman","62000600","typha.spp",0.0147058823529412,1,0.3048,0.0147058823529412,136,136,136,0.0147058823529412
"2001-08-16","sblood","kohlman","62000600","nitella.spp",0.00735294117647059,1,0.3048,0.00735294117647059,136,136,136,0.00735294117647059
"2002-06-26","sblood","kohlman","62000600","ceratophyllum.demersum",0.792857142857143,1,2.98704,0.792857142857143,140,140,137,0.81021897810219
"2002-06-26","sblood","kohlman","62000600","potamogeton.crispus",0.271428571428571,1,2.68224,0.271428571428571,140,140,137,0.277372262773723
"2002-06-26","sblood","kohlman","62000600","myriophyllum.spicatum",0.6,1,2.4384,0.6,140,140,137,0.613138686131387
"2002-06-26","sblood","kohlman","62000600","spirodela.polyrhiza",0.0428571428571429,1,0.9144,0.0428571428571429,140,140,137,0.0437956204379562
"2002-06-26","sblood","kohlman","62000600","chara.spp",0.00714285714285714,1,0.762,0.00714285714285714,140,140,137,0.0072992700729927
"2002-06-26","sblood","kohlman","62000600","stuckenia.pectinata",0.0285714285714286,1,2.1336,0.0285714285714286,140,140,137,0.0291970802919708
"2002-06-26","sblood","kohlman","62000600","lemna.minor",0.0928571428571429,1,1.8288,0.0928571428571429,140,140,137,0.0948905109489051
"2002-06-26","sblood","kohlman","62000600","potamogeton.zosteriformis",0.114285714285714,1,1.8288,0.114285714285714,140,140,137,0.116788321167883
"2002-06-26","sblood","kohlman","62000600","elodea.spp",0.1,1,2.19456,0.1,140,140,137,0.102189781021898
"2002-06-26","sblood","kohlman","62000600","unk.p.cf.pusillus",0.0571428571428571,1,1.524,0.0571428571428571,140,140,137,0.0583941605839416
"2002-06-26","sblood","kohlman","62000600","nymphaea.spp",0.25,1,1.8288,0.25,140,140,137,0.255474452554745
"2002-06-26","sblood","kohlman","62000600","nuphar.spp",0.0214285714285714,1,1.2192,0.0214285714285714,140,140,137,0.0218978102189781
"2002-06-26","sblood","kohlman","62000600","typha.spp",0.0214285714285714,1,0.6096,0.0214285714285714,140,140,137,0.0218978102189781
"2002-06-26","sblood","kohlman","62000600","phalaris.arundinacea",0.0142857142857143,1,0.6096,0.0142857142857143,140,140,137,0.0145985401459854
"2002-06-26","sblood","kohlman","62000600","zannichellia.palustris",0.0357142857142857,1,1.2192,0.0357142857142857,140,140,137,0.0364963503649635
"2002-08-26","sblood","kohlman","62000600","ceratophyllum.demersum",0.771428571428571,1,3.07848,0.771428571428571,140,140,136,0.794117647058823
"2002-08-26","sblood","kohlman","62000600","potamogeton.crispus",0.0285714285714286,1,2.04216,0.0285714285714286,140,140,136,0.0294117647058824
"2002-08-26","sblood","kohlman","62000600","myriophyllum.spicatum",0.585714285714286,1,2.56032,0.585714285714286,140,140,136,0.602941176470588
"2002-08-26","sblood","kohlman","62000600","najas.flexilis",0.00714285714285714,1,0.9144,0.00714285714285714,140,140,136,0.00735294117647059
"2002-08-26","sblood","kohlman","62000600","stuckenia.pectinata",0.0142857142857143,1,1.8288,0.0142857142857143,140,140,136,0.0147058823529412
"2002-08-26","sblood","kohlman","62000600","lemna.minor",0.3,1,1.8288,0.3,140,140,136,0.308823529411765
"2002-08-26","sblood","kohlman","62000600","potamogeton.zosteriformis",0.157142857142857,1,1.8288,0.157142857142857,140,140,136,0.161764705882353
"2002-08-26","sblood","kohlman","62000600","elodea.spp",0.128571428571429,1,1.92024,0.128571428571429,140,140,136,0.132352941176471
"2002-08-26","sblood","kohlman","62000600","wolffia.spp",0.257142857142857,1,1.8288,0.257142857142857,140,140,136,0.264705882352941
"2002-08-26","sblood","kohlman","62000600","unk.p.cf.pusillus",0.0214285714285714,1,1.6764,0.0214285714285714,140,140,136,0.0220588235294118
"2002-08-26","sblood","kohlman","62000600","nymphaea.spp",0.271428571428571,1,1.524,0.271428571428571,140,140,136,0.279411764705882
"2002-08-26","sblood","kohlman","62000600","nuphar.spp",0.00714285714285714,1,1.18872,0.00714285714285714,140,140,136,0.00735294117647059
"2002-08-26","sblood","kohlman","62000600","eleocharis.spp",0.00714285714285714,1,0.3048,0.00714285714285714,140,140,136,0.00735294117647059
"2002-08-26","sblood","kohlman","62000600","typha.spp",0.0214285714285714,1,0.79248,0.0214285714285714,140,140,136,0.0220588235294118
"2002-08-26","sblood","kohlman","62000600","phalaris.arundinacea",0.00714285714285714,1,0.36576,0.00714285714285714,140,140,136,0.00735294117647059
