"","X","Lake.ID","Year","Lake","Latitude.x","Trt","YrsTrt","PrevAUGSecchi","IceIn","IceOut","IceCover","Snow","APRMAYPcri","APRMAY3.7","APRMAYDIFF","APRMAYRelDens","APRMAYRelDensall","County","Latitude.y","Longitude","Ecoregion","Lake.area..ha.","Littoral.area..ha.","Proportion.littoral","Max.depth..m.","Lake.y","Acres_Chem","Acres_Harvested","litt.ac","perc.lit.chem","Snow.sc","PrevAUGSecchi.sc","IceCover.sc","lake_year","nsamp","nocc_pcri","rd_pcri","datasource","foc_clp","cytrt","yutrt","Trte","perc.cheme"
"159",159,62000200,2008,"baldeagle",45.117,"1",3,0.8,"29-Nov","22-Apr",146,7.6,0.52,0.52,0,NA,NA,"Ramsey",45.117,-93.016,"NCHF",424,304,0.72,"11","Bald Eagle ",98,NA,751.1992,0.130458072905296,-0.678385470089462,-0.415389332048973,0.862665284420228,"baldeagle2008",NA,NA,NA,NA,NA,0,0,"0",0
"160",160,62000200,2009,"baldeagle",45.117,"1",4,0.8,"25-Nov","7-Apr",134,3.9,0.41,0.41,0,NA,NA,"Ramsey",45.117,-93.016,"NCHF",424,304,0.72,"11","Bald Eagle ",98,NA,751.1992,0.130458072905296,-1.09464769552063,-0.415389332048973,0.0220743419759522,"baldeagle2009",NA,NA,NA,NA,NA,0,0,"1",0.130458072905296
"161",161,62000200,2010,"baldeagle",45.117,"1",5,1,"7-Dec","31-Mar",115,17.8,0.51,0.51,0,NA,NA,"Ramsey",45.117,-93.016,"NCHF",424,304,0.72,"11","Bald Eagle ",241,NA,751.1992,0.320820362960983,0.469148232450519,-0.214823773553931,-1.30886131689415,"baldeagle2010",NA,NA,NA,NA,NA,1,0,"1",0.130458072905296
"162",162,62000200,2011,"baldeagle",45.117,"1",6,0.8,"22-Nov","13-Apr",143,26.9,0.3,0.3,0,NA,NA,"Ramsey",45.117,-93.016,"NCHF",424,304,0.72,"11","Bald Eagle ",124.6,NA,751.1992,0.165868121265305,1.49292830040285,-0.415389332048973,0.652517548809159,"baldeagle2011",NA,NA,NA,NA,NA,2,0,"1",0.320820362960983
"163",163,62000200,2012,"baldeagle",45.117,"1",7,1.1,"29-Nov","18-Mar",111,1.9,0.36,0.36,0,NA,NA,"Ramsey",45.117,-93.016,"NCHF",424,304,0.72,"11","Bald Eagle ",97,NA,751.1992,0.129126868079732,-1.3196543038618,-0.11454099430641,-1.58905829770891,"baldeagle2012",NA,NA,NA,NA,NA,3,0,"1",0.165868121265305
"164",164,62000200,2013,"baldeagle",45.117,"1",8,0.7,"2-Dec","2-May",152,11.8,0.3,0.3,0,NA,NA,"Ramsey",45.117,-93.016,"NCHF",424,304,0.72,"11","Bald Eagle ",62.5,NA,751.1992,0.0832003015977653,-0.205871592572999,-0.515672111296494,1.28296075564237,"baldeagle2013",NA,NA,NA,NA,NA,4,0,"1",0.129126868079732
"165",165,62000200,2014,"baldeagle",45.117,"1",9,1.1,"24-Nov","23-Apr",151,20.9,0.06,0.06,0,NA,NA,"Ramsey",45.117,-93.016,"NCHF",424,304,0.72,"11","Bald Eagle ",92,NA,751.1992,0.12247084395191,0.817908475379336,-0.11454099430641,1.21291151043868,"baldeagle2014",NA,NA,NA,NA,NA,5,0,"1",0.0832003015977653
"141",141,47004900,2008,"belle",44.982,"0",0,NA,"28-Nov","22-Apr",147,11.9,NA,NA,NA,NA,NA,"Meeker",44.982,-94.426,"NCHF",334,155,0.46,"7.6",NA,0,NA,383.01275,0,-0.19462126215594,NA,0.932714529623918,"belle2008",NA,NA,NA,NA,NA,0,0,"0",0
"142",142,47004900,2009,"belle",44.982,"0",0,0.7,"21-Nov","10-Apr",141,12.4,NA,NA,NA,NA,NA,"Meeker",44.982,-94.426,"NCHF",334,155,0.46,"7.6",NA,0,NA,383.01275,0,-0.138369610070647,-0.515672111296494,0.51241905840178,"belle2009",NA,NA,NA,NA,NA,0,0,"0",0
"143",143,47004900,2010,"belle",44.982,"0",0,0.7,"5-Dec","30-Mar",116,24.3,0.004,0.004,0,NA,NA,"Meeker",44.982,-94.426,"NCHF",334,155,0.46,"7.6",NA,0,NA,383.01275,0,1.20041970955933,-0.515672111296494,-1.23881207169046,"belle2010",273,2,NA,"dustin",0.00732600732600733,0,0,"0",0
"144",144,47004900,2013,"belle",44.982,"0",0,NA,"9-Dec","2-May",145,15.3,0.01,0.01,0,NA,NA,"Meeker",44.982,-94.426,"NCHF",334,155,0.46,"7.6",NA,0,NA,383.01275,0,0.187889972024053,NA,0.792616039216539,"belle2013",259,2,1,"dustin",0.00772200772200772,0,0,"0",0
"137",137,41004300,2006,"benton",44.294,"1",1,0.8,"25-Dec","28-Mar",94,2.4,0.05,0.05,0,NA,NA,"Lincoln",44.294,-96.251,"NGP",1092,1092,1,"2.7",NA,2875,NA,2698.3866,1.06545148126662,-1.26340265177651,-0.415389332048973,-2.77989546617163,"benton2006",NA,NA,NA,NA,NA,0,0,"0",0
