DOW,year,LakeName,LK_LZACRES,month,IceDuration,IceOffEst,Snow,prev_aug_secchi,secchi,secchi.e,perc.lit.chem,Acres_chem,trt_date_lag0,cytrt,yutrt,Trt,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,foc_clp,native_rich,native_vegetated,survey_native_rich,SURVEY_START,nsamp
40000200,2015,Upper Sakatah,899.57,4,NA,85.35279048,1.3,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.842857143,0.957142857,0.885714286,3,4/13/2015,70
27007000,2015,,110.62,4,NA,87.3956651,1.3,2.325,2.646153846,4.75,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.73480663,1.082872928,0.685082873,8,4/28/2015,181
27007000,2015,,110.62,4,NA,87.3956651,1.3,2.325,2.646153846,4.75,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.682051282,1.005128205,0.635897436,8,4/29/2015,195
40000200,2016,Upper Sakatah,899.57,4,NA,75.00411574,2,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.35483871,1.419354839,0.903225806,2,4/4/2016,31
27007000,2016,,110.62,4,NA,77.04699036,2,1.5,1.275,3.1,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.759562842,0.486338798,0.409836066,5,4/29/2016,183
40000200,2017,Upper Sakatah,899.57,4,NA,77.70202865,1.3,NA,1.553333333,2.663333333,2.178818769,19.6,5/1/2017,0,NA,1,0,0,0,0,0,0,0,0,0,0.794871795,0.897435897,0.692307692,2,4/11/2017,39
86026400,2017,,58.31,4,NA,NA,1.3,0.8,1.27,2.1336,14.74875665,8.6,5/1/2017,0,NA,1,0,0,0,0,0,0,0,0,0,0.386792453,0.018867925,0.018867925,1,4/22/2017,106
70009100,2017,Cedar,792.5,4,NA,78.75289659,1.3,NA,1.114285714,1.25,22.71293375,180,5/1/2017,0,1,1,0,1,0,0,0,0,0,0,0,0.465608466,0.121693122,0.105820106,4,4/25/2017,189
41004300,2017,Dead Coon,2649.41,4,NA,75.89668637,1.3,NA,1.3,1.6,13.31617228,352.8,5/1/2017,0,NA,1,0,0,0,0,0,0,0,0,0,0.392405063,0.164556962,0.139240506,5,4/27/2017,79
70005000,2017,McMahon,162.26,4,NA,78.45547922,1.3,NA,1.3825,2.13,10.16886478,16.5,5/1/2017,0,3,1,0,0,0,1,0,0,0,0,0,0.75,0.819444444,0.611111111,4,4/28/2017,72
27007000,2014,,110.62,5,NA,106.3571015,9.6,1.35,3.125,4.64,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.320441989,1.011049724,0.662983425,9,5/20/2014,181
70005000,2015,McMahon,162.26,5,NA,86.10624105,1.3,1.1,NA,NA,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,0,0.598425197,0.354330709,0.236220472,4,5/15/2015,127
10004100,2016,,156.44,5,NA,77.93104344,2,2.433333333,3.46,4.45,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.617647059,1.080882353,0.757352941,13,5/16/2016,136
70005000,2016,McMahon,162.26,5,NA,75.7575663,2,NA,NA,NA,0,0,NA,0,2,0,0,0,1,0,0,0,0,0,0,0.487804878,0.609756098,0.357723577,5,5/25/2016,123
41004300,2012,Dead Coon,2649.41,6,NA,68.31084135,0.6,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.00862069,0.00862069,2,6/12/2012,348
27007000,2013,,110.62,6,NA,116.8551542,3.9,1.2,1.842857143,2.52,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.642458101,1.346368715,0.768156425,6,6/6/2013,358
27007000,2014,,110.62,6,NA,106.3571015,9.6,1.35,3.125,4.64,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.461956522,1.559782609,0.755434783,9,6/12/2014,184
66003800,2014,French,379.03,6,NA,104.303993,9.6,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.634146341,0.658536585,0.43902439,8,6/16/2014,123
40000200,2015,Upper Sakatah,899.57,6,NA,85.35279048,1.3,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.5,1.527777778,1,5,6/4/2015,36
27007000,2015,,110.62,6,NA,87.3956651,1.3,2.325,2.646153846,4.75,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.408839779,0.845303867,0.546961326,5,6/10/2015,181
70009100,2015,Cedar,792.5,6,NA,86.40365842,1.3,0.5,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.422680412,0.577319588,0.443298969,6,6/17/2015,194
10004100,2016,,156.44,6,NA,77.93104344,2,2.433333333,3.46,4.45,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.046153846,1.030769231,0.923076923,3,6/7/2016,65
41004300,2016,Dead Coon,2649.41,6,NA,73.19877346,2,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.070175439,0.140350877,0.140350877,2,6/9/2016,57
27007000,2016,,110.62,6,NA,77.04699036,2,1.5,1.275,3.1,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.302197802,0.802197802,0.571428571,10,6/13/2016,182
10004100,2016,,156.44,6,NA,77.93104344,2,2.433333333,3.46,4.45,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.604166667,1.465277778,0.888888889,13,6/21/2016,144
27007000,2017,,110.62,6,NA,79.74490327,1.3,0.4,1.86,2.566666667,8.587958778,9.5,5/1/2017,1,0,1,1,0,0,0,0,0,0,0,0,0.685082873,0.690607735,0.53038674,7,6/9/2017,181
10004100,2017,,156.44,6,NA,80.62895635,1.3,2.1,3.616666667,4.816666667,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.793650794,1.253968254,0.777777778,11,6/14/2017,126
73003700,2017,,558.63,6,NA,85.46260145,1.3,0.833333333,2.2125,3.328571429,5.549290228,31,5/1/2017,1,0,1,1,0,0,0,0,0,0,0,0,0.036363636,1.015584416,0.735064935,15,6/26/2017,385
41004300,2017,Dead Coon,2649.41,6,NA,75.89668637,1.3,NA,1.3,1.6,13.31617228,352.8,5/1/2017,1,0,1,1,0,0,0,0,0,0,0,0,0.392405063,0.164556962,0.139240506,5,6/29/2017,79
41004300,2018,,2649.41,6,NA,107.9795062,3.1,1.4,0.916666667,2.05,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,0,0.589981447,0.113172542,0.107606679,4,6/12/2018,539
10004100,2018,,156.44,6,NA,112.7117762,3.1,2.05,3.349090909,4.26,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.564885496,1.564885496,0.946564885,12,6/29/2018,131
10004100,2018,,156.44,6,NA,112.7117762,3.1,2.05,3.349090909,4.26,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.564885496,1.564885496,0.946564885,12,6/29/2018,131
66003800,2020,,379.03,6,NA,91.75185051,4.7,0.54,0.892,1.56,0.897026621,3.4,5/1/2020,4,0,1,1,1,1,1,0,0,0,0,0,0.628272251,0.544502618,0.366492147,7,6/4/2020,191
10004100,2020,,156.44,6,NA,94.68901219,4.7,2.75,4.172727273,5.1,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.375,1.977941176,0.933823529,15,6/24/2020,136
10004100,2020,,156.44,6,NA,94.68901219,4.7,2.75,4.172727273,5.1,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.375,1.977941176,0.933823529,15,6/24/2020,136
70009100,2013,,792.5,7,NA,115.8631475,3.9,0.5,1.1,1.49,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.225641026,0.435897436,0.241025641,6,7/29/2013,195
40000200,2014,Upper Sakatah,899.57,7,NA,104.3142269,9.6,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.301369863,1.821917808,0.808219178,5,7/7/2014,73
40000200,2014,Upper Sakatah,899.57,7,NA,104.3142269,9.6,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.153409091,0.147727273,0.119318182,4,7/7/2014,176
73003700,2014,,558.63,7,NA,112.0747997,9.6,1.3,1.692,2.333333333,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.1425,0.935,0.635,15,7/10/2014,400
70009100,2014,,792.5,7,NA,105.3650949,9.6,0.625,1.063157895,1.8,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.107142857,0.413265306,0.25,6,7/31/2014,196
86026400,2016,,58.31,7,NA,NA,2,NA,1.84,3.5,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.008928571,0.366071429,0.25,8,7/30/2016,112
70009100,2018,,792.5,7,NA,110.8357164,3.1,0.9,0.8,2.715,49.96845426,396,5/1/2018,3,0,1,1,1,1,0,0,0,0,0,0,0.015625,0.302083333,0.197916667,8,7/11/2018,192
70005000,2018,,162.26,7,NA,110.5382991,3.1,0.9,1.705,3.65,10.16886478,16.5,5/1/2018,2,0,1,1,1,0,0,1,0,0,0,0,0.289473684,0.848684211,0.447368421,8,7/12/2018,152
10004100,2019,,156.44,7,NA,100.844969,5.5,2.485,3.404761905,3.9,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0.291338583,1.88976378,0.960629921,13,7/9/2019,127
