"","Lake.ID","Year","Lake.x","Trt","YrsTrt","PrevAUGSecchi","Snow","APRMAYPcri","JUNPcri","DIFF.4.6","County","Lake.area.acre","Proportion.littoral","Max.depth","Acres_Chem","litt.ac","perc.lit.chem","Ice_off"
"1","02005300",2018,"Ham",0,1,2.1,3.1,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,113.803223397358
"2","02005300",2019,"Ham",0,1,2.07,5.5,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,101.9364161924
"3","02005300",2019,"Ham",0,1,2.07,5.5,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,101.9364161924
"4","02005300",2020,"Ham",0,1,2.4,4.7,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,95.7804593961142
"5","02005300",2020,"Ham",0,1,2.4,4.7,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,95.7804593961142
"6","02008400",2017,"Crooked",1,1,2.05,1.3,NA,NA,NA,NA,84.017,0.731,26,2.12,84.02,2.52320875981909,81.6343777281892
"7","02008400",2018,"Crooked",1,2,2.1,3.1,NA,NA,NA,NA,84.017,0.731,26,13.8,84.02,16.4246607950488,113.71719756112
"8","10000200",2017,"Riley",1,1,1.63,1.3,0.29,0.22,-0.07,NA,110.083,0.3718,49,20,110.08,18.1686046511628,81.064170371587
"9","10000200",2017,"Riley",1,1,1.63,1.3,0.29,0.22,-0.07,NA,110.083,0.3718,49,20,110.08,18.1686046511628,81.064170371587
"10","10000200",2018,"Riley",1,2,1.83,3.1,NA,NA,NA,NA,110.083,0.3718,49,15.7,110.08,14.2623546511628,113.146990204517
"11","10000200",2018,"Riley",1,2,1.83,3.1,NA,NA,NA,NA,110.083,0.3718,49,15.7,110.08,14.2623546511628,113.146990204517
"12","10000200",2020,"Riley",1,3,2.02,4.7,0.3,NA,NA,NA,110.083,0.3718,49,16,110.08,14.5348837209302,95.1242262032733
"13","10000200",2020,"Riley",1,3,2.02,4.7,0.3,NA,NA,NA,110.083,0.3718,49,16,110.08,14.5348837209302,95.1242262032733
"14","10000200",2022,"Riley",1,5,4.5,3.8,NA,0.29,NA,NA,110.083,0.3718,49,16.7,110.08,15.1707848837209,107.938045145296
"15","10000200",2022,"Riley",1,5,4.5,3.8,NA,0.29,NA,NA,110.083,0.3718,49,16.7,110.08,15.1707848837209,107.938045145296
"16","10000200",2023,"Riley",1,6,3.9,7.7,0.26,0.29,0.03,NA,110.083,0.3718,49,9,110.08,8.17587209302326,108.126882230518
"17","10000200",2023,"Riley",1,6,3.9,7.7,0.26,0.29,0.03,NA,110.083,0.3718,49,9,110.08,8.17587209302326,108.126882230518
"18","10000200",2023,"Riley",1,6,3.9,7.7,0.26,0.29,0.03,NA,110.083,0.3718,49,9,110.08,8.17587209302326,108.126882230518
"19","10000900",2025,"Minnewashta",1,9,2.64,1.2,NA,NA,NA,NA,337.891,0.5021,70,50.1,337.89,14.8273106632336,89.2533497538393
"20","10001300",2017,"Susan",1,1,0.37,1.3,0.19,0.03,-0.16,NA,71.994,0.815,17,9,71.99,12.5017363522712,80.2054640044413
"21","10001300",2018,"Susan",1,2,0.52,3.1,NA,0.07,NA,NA,71.994,0.815,17,7.73,71.99,10.737602444784,112.288283837372
"22","10001300",2020,"Susan",0,2,0.65,4.7,0.45,0.25,-0.2,NA,71.994,0.815,17,NA,71.99,NA,94.2655198361276
"23","10001300",2020,"Susan",0,2,0.65,4.7,0.45,0.25,-0.2,NA,71.994,0.815,17,NA,71.99,NA,94.2655198361276
"24","10001300",2020,"Susan",0,2,0.65,4.7,0.45,0.25,-0.2,NA,71.994,0.815,17,NA,71.99,NA,94.2655198361276
"25","10001300",2022,"Susan",1,4,NA,3.8,NA,0.26,NA,NA,71.994,0.815,17,8.25,71.99,11.4599249895819,107.07933877815
"26","10001300",2022,"Susan",1,4,NA,3.8,NA,0.26,NA,NA,71.994,0.815,17,8.25,71.99,11.4599249895819,107.07933877815
"27","10001300",2023,"Susan",1,5,0.62,7.7,0.23,0.12,-0.11,NA,71.994,0.815,17,5.35,71.99,7.43158772051674,107.268175863372
"28","10001300",2023,"Susan",1,5,0.62,7.7,0.23,0.12,-0.11,NA,71.994,0.815,17,5.35,71.99,7.43158772051674,107.268175863372
"29","10001300",2023,"Susan",1,5,0.62,7.7,0.23,0.12,-0.11,NA,71.994,0.815,17,5.35,71.99,7.43158772051674,107.268175863372
"30","13002700",2025,"South Center",1,7,0.72,1.2,NA,0.85,NA,NA,544.508,0.6548,105.3000031,7.01,544.51,1.28739600741951,92.76366302199
"31","13002700",2025,"South Center",1,7,0.72,1.2,NA,0.85,NA,NA,544.508,0.6548,105.3000031,7.01,544.51,1.28739600741951,92.76366302199
"32","13002700",2018,"South Center",1,2,1.12,3.1,NA,NA,NA,NA,544.508,0.6548,105.3000031,8,544.51,1.46921085012213,117.415172608863
"33","13002700",2023,"South Center",1,5,1.37,7.7,NA,NA,NA,NA,544.508,0.6548,105.3000031,26.84,544.51,4.92920240215974,112.395064634863
"34","13002800",2021,"South Lindstrom",0,2,1.2,4.4,NA,NA,NA,NA,261.419,0.4767,33.90000153,NA,261.42,NA,86.8943189497936
"35","13003200",2025,"North Center",1,7,NA,1.2,NA,0.88,NA,NA,749.26,0.8114673144,NA,7,608,1.15131578947368,91.4862387070748
"36","18035200",2017,"Ossawinnamakee",1,1,6.83,1.3,NA,NA,NA,NA,259.431,0.3756,62.90000153,8,259.43,3.08368345989284,93.067658166008
"37","27002800",2017,NA,1,1,NA,1.3,1,0.01,-0.99,NA,NA,NA,6.5,7.4,NA,NA,NA
"38","27002800",2017,NA,1,1,NA,1.3,1,0.01,-0.99,NA,NA,NA,6.5,7.4,NA,NA,NA
"39","27002800",2018,NA,1,2,NA,3.1,0.97,NA,NA,NA,NA,NA,6.5,7.4,NA,NA,NA
"40","27002800",2020,NA,1,4,NA,4.7,0.37,NA,NA,NA,NA,NA,6.5,7.4,NA,NA,NA
"41","27002800",2021,NA,1,5,NA,4.4,0.38,NA,NA,NA,NA,NA,6.5,7.4,NA,NA,NA
"42","27002800",2022,NA,1,6,NA,3.8,0.12,0.04,-0.08,NA,NA,NA,6.5,4.6,NA,NA,NA
"43","27002800",2022,NA,1,6,NA,3.8,0.12,0.04,-0.08,NA,NA,NA,6.5,4.6,NA,NA,NA
"44","27002800",2023,NA,0,6,NA,7.7,0.05,0.54,0.49,NA,NA,NA,6.5,NA,NA,NA,NA
"45","27002800",2023,NA,0,6,NA,7.7,0.05,0.54,0.49,NA,NA,NA,6.5,NA,NA,NA,NA
"46","27002800",2023,NA,0,6,NA,7.7,0.05,0.54,0.49,NA,NA,NA,6.5,NA,NA,NA,NA
"47","27002800",2024,NA,1,7,NA,0.6,NA,0.32,NA,NA,NA,NA,6.5,49.9,NA,NA,NA
"48","27002800",2024,NA,1,7,NA,0.6,NA,0.32,NA,NA,NA,NA,6.5,49.9,NA,NA,NA
"49","27002800",2025,NA,1,8,NA,1.2,NA,0.06,NA,NA,NA,NA,6.5,49.9,NA,NA,NA
"50","27002800",2025,NA,1,8,NA,1.2,NA,0.06,NA,NA,NA,NA,6.5,49.9,NA,NA,NA
"51","27003400",2018,"Crystal",0,1,NA,3.1,0.02,NA,NA,NA,79.12,0.6699,39,NA,53,NA,111.998953351022
"52","27003400",2018,"Crystal",0,1,NA,3.1,0.02,NA,NA,NA,79.12,0.6699,39,NA,53,NA,111.998953351022
"53","27003400",2020,"Crystal",0,2,1,4.7,NA,0.04,NA,NA,79.12,0.6699,39,NA,53,NA,93.9761893497779
"54","27003400",2020,"Crystal",0,2,1,4.7,NA,0.04,NA,NA,79.12,0.6699,39,NA,53,NA,93.9761893497779
"55","27003400",2021,"Crystal",1,3,1.01,4.4,NA,NA,NA,NA,79.12,0.6699,39,5.1,53,9.62264150943396,82.5159885417394
"56","27004400",2020,NA,1,2,NA,4.7,0.71,NA,NA,NA,NA,NA,NA,2.1,NA,NA,94.398579203372
"57","27004400",2023,NA,0,4,NA,7.7,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.401235230616
"58","27004400",2024,NA,1,5,NA,0.6,0.06,NA,NA,NA,NA,NA,NA,0.87,NA,NA,67.3507019563762
"59","27004400",2024,NA,1,5,NA,0.6,0.06,NA,NA,NA,NA,NA,NA,0.87,NA,NA,67.3507019563762
"60","27004500",2017,NA,1,1,NA,1.3,1,NA,NA,NA,NA,NA,7,3,NA,NA,NA
"61","27004500",2018,NA,1,2,NA,3.1,0.93,NA,NA,NA,NA,NA,7,2,NA,NA,NA
"62","27004500",2020,NA,1,4,NA,4.7,0.28,NA,NA,NA,NA,NA,7,2,NA,NA,NA
"63","27004500",2023,NA,1,7,NA,7.7,0.45,NA,NA,NA,NA,NA,7,2,NA,NA,NA
"64","27004500",2024,NA,1,8,NA,0.6,0.66,NA,NA,NA,NA,NA,7,2,NA,NA,NA
"65","27004800",2017,"Hyland",1,1,0.6,1.3,0.15,NA,NA,NA,83.913,0.995,11.5,31.1,83.91,37.0635204385651,NA
"66","27004800",2017,"Hyland",1,1,0.6,1.3,0.15,NA,NA,NA,83.913,0.995,11.5,31.1,83.91,37.0635204385651,NA
"67","27004800",2018,"Hyland",0,1,0.5,3.1,0.01,0.06,0.05,NA,83.913,0.995,11.5,NA,83.91,NA,NA
"68","27004800",2018,"Hyland",0,1,0.5,3.1,0.01,0.06,0.05,NA,83.913,0.995,11.5,NA,83.91,NA,NA
"69","27004800",2018,"Hyland",0,1,0.5,3.1,0.01,0.06,0.05,NA,83.913,0.995,11.5,NA,83.91,NA,NA
"70","27004800",2019,"Hyland",1,2,0.58,5.5,0.2,0.2,0,NA,83.913,0.995,11.5,19,83.91,22.6433083065189,NA
"71","27004800",2019,"Hyland",1,2,0.58,5.5,0.2,0.2,0,NA,83.913,0.995,11.5,19,83.91,22.6433083065189,NA
"72","27004800",2019,"Hyland",1,2,0.58,5.5,0.2,0.2,0,NA,83.913,0.995,11.5,19,83.91,22.6433083065189,NA
"73","27004800",2020,"Hyland",1,3,0.7,4.7,0.15,0.42,0.27,NA,83.913,0.995,11.5,9,83.91,10.7257776188774,NA
"74","27004800",2020,"Hyland",1,3,0.7,4.7,0.15,0.42,0.27,NA,83.913,0.995,11.5,9,83.91,10.7257776188774,NA
"75","27005500",2018,NA,1,1,0.7,3.1,0.08,NA,NA,NA,NA,NA,NA,3.2,NA,NA,111.908289239751
"76","27005500",2021,NA,0,3,NA,4.4,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.4253244304683
"77","27005500",2023,NA,0,4,NA,7.7,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.888181265751
"78","27005500",2024,NA,1,5,NA,0.6,0.19,NA,NA,NA,NA,NA,NA,3.16,NA,NA,66.837647991511
