"","Lake.ID","Year","Lake.x","Trt","YrsTrt","PrevAUGSecchi","Snow","APRMAYPcri","JUNPcri","DIFF.4.6","County","Lake.area.acre","Proportion.littoral","Max.depth","Acres_Chem","litt.ac","perc.lit.chem","Ice_off","lag0_before","lag0_after","acres_lag0_before","acres_lag0_after","date_lag0_before","date_lag0_after","lag1","lag2","lag3","lag4","lag5","lag6","lag7","lag8"
"1","02005300",2018,"Ham",0,1,2.1,3.1,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,113.803223397358,0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0
"2","02005300",2019,"Ham",0,1,2.07,5.5,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,101.9364161924,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0
"3","02005300",2019,"Ham",0,1,2.07,5.5,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,101.9364161924,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0
"4","02005300",2020,"Ham",0,1,2.4,4.7,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,95.7804593961142,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0
"5","02005300",2020,"Ham",0,1,2.4,4.7,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,95.7804593961142,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0
"6","02008400",2017,"Crooked",1,1,2.05,1.3,NA,NA,NA,NA,84.017,0.731,26,2.12,84.02,2.52320875981909,81.6343777281892,1,0,2.12,NA,2017-05-01,NA,0,0,0,0,0,0,0,0
"7","02008400",2018,"Crooked",1,2,2.1,3.1,NA,NA,NA,NA,84.017,0.731,26,13.8,84.02,16.4246607950488,113.71719756112,1,0,13.8,NA,2018-05-01,NA,1,0,0,0,0,0,0,0
"8","10000200",2017,"Riley",1,1,1.63,1.3,0.29,0.22,-0.07,NA,110.083,0.3718,49,20,110.08,18.1686046511628,81.064170371587,1,0,20,NA,2017-05-01,NA,0,0,0,0,0,0,0,0
"9","10000200",2017,"Riley",1,1,1.63,1.3,0.29,0.22,-0.07,NA,110.083,0.3718,49,20,110.08,18.1686046511628,81.064170371587,1,0,20,NA,2017-05-01,NA,0,0,0,0,0,0,0,0
"10","10000200",2018,"Riley",1,2,1.83,3.1,NA,NA,NA,NA,110.083,0.3718,49,15.7,110.08,14.2623546511628,113.146990204517,1,0,15.7,NA,2018-05-01,NA,1,0,0,0,0,0,0,0
"11","10000200",2018,"Riley",1,2,1.83,3.1,NA,NA,NA,NA,110.083,0.3718,49,15.7,110.08,14.2623546511628,113.146990204517,1,0,15.7,NA,2018-05-01,NA,1,0,0,0,0,0,0,0
"12","10000200",2020,"Riley",1,3,2.02,4.7,0.3,NA,NA,NA,110.083,0.3718,49,16,110.08,14.5348837209302,95.1242262032733,1,0,16,NA,2020-05-01,NA,0,1,1,0,0,0,0,0
