"","survey_id","DOW","lake_name","SURVEY_START","year","month","doy","ceratophyllum_demersum","potamogeton_crispus","elodea_canadensis","heteranthera_dubia","najas_sp","potamogeton_foliosus","potamogeton_zosteriformis","ranunculus_aquatilis","stuckenia_pectinata","chara_sp","eleocharis_acicularis","myriophyllum_spicatum","myriophyllum_sibiricum","potamogeton_pusillus","potamogeton_richardsonii","vallisneria_americana","potamogeton_nodosus","zannichellia_palustris","potamogeton_praelongus","potamogeton_amplifolius","elodea_sp","potamogeton_robbinsii","myriophyllum_spicatum_x_sibiricum","nitella_sp","myriophyllum_sp","potamogeton_illinoensis","utricularia_vulgaris","najas_flexilis","potamogeton_friesii","aquatic_moss","potamogeton_gramineus","utricularia_gibba","najas_guadalupensis","lychnothamnus_barbatus","ceratophyllum_echinatum","utricularia_minor","utricularia_macrorhiza","elodea_nuttallii","najas_gracillima","potamogeton_obtusifolius","potamogeton_sp","potamogeton_epihydrus","utricularia_sp","potamogeton_strictifolius","nitellopsis_obtusa","fontinalis_sp","tolypella_intricata","chara_globularis","nitella_flexilis","veronica_catenata","utricularia_intermedia","bidens_beckii","myriophyllum_alterniflorum","hippuris_vulgaris","isoetes_echinospora","stuckenia_filiformis","nitella_mucronata","potamogeton_perfoliatus","potamogeton_pulcher","drepanocladus_sp","najas_minor","nitella_furcata","juncus_pelocarpus","nitella_tenuissima","ranunculus_sp","myriophyllum_verticillatum","najas_marina","stuckenia_vaginata","fontinalis_antipyretica","potamogeton_alpinus","ranunculus_flabellaris","chara_contraria","chara_braunii","ranunculus_flammula","nitella_macounii","isoetes_lacustris","lobelia_dortmanna","myriophyllum_tenellum","utricularia_geminiscapa","potamogeton_spirillus","callitriche_sp","ceratophyllum_sp","chara_canescens","characeae_taxa","drepanocladus_aduncus","elatine_sp","elatine_minima","eleocharis_sp","eleocharis_robbinsii","eriocaulon_aquaticum","fontinalis_sullivantii","isoetes_sp","littorella_uniflora","myriophyllum_farwellii","nitellopsis_sp","potamogeton_bicupulatus","potamogeton_diversifolius","potamogeton_hillii","potamogeton_vaseyi","ruppia_cirrhosa","schoenoplectus_subterminalis","scorpidium_scorpioides","stuckenia_sp","utricularia_purpurea","veronica_americana","heteranthera_sp","vallisneria_sp","taxa_rich","vegetated","EWM","native_rich","native_vegetated","survey_taxa_rich","survey_native_rich","LK_LZACRES"
"1",1,"01000100","pine",2008-06-25,2008,6,177,0.620253164556962,0.278481012658228,0.151898734177215,0,0,0,0.468354430379747,0,0.0379746835443038,0,0,0,0.0759493670886076,0,0.139240506329114,0,0,0,0,0.443037974683544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253164556962025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379746835443038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27848101265823,0.873417721518987,0,2,0.873417721518987,10,9,125.92
"2",2,"01001600","little prairie",2011-08-16,2011,8,228,0.024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731707317073171,0,0,0,0,0,0.121951219512195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317073170731707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536585365853659,0.390243902439024,0,0.536585365853659,0.390243902439024,4,4,NA
"3",3,"01003400","horseshoe",2011-08-10,2011,8,222,0.0757575757575758,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0.0151515151515152,0,0,0.0909090909090909,0,0,0.0606060606060606,0,0,0,0,0,0,0,0.0606060606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.560606060606061,0.303030303030303,0,0.560606060606061,0.303030303030303,7,7,240.06
"4",4,"01003500","mud",2014-07-17,2014,7,198,0.108108108108108,0,0,0,0,0,0.162162162162162,0,0,0.027027027027027,0,0,0,0,0,0.0540540540540541,0,0,0,0.27027027027027,0,0,0,0.0540540540540541,0,0.027027027027027,0.486486486486487,0.027027027027027,0,0,0.027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540540540540541,0,0,0,0,0,0,0,0,0.0540540540540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108108108108108,0,0,0,0,0,0,0,0,0,0,0,0,0.459459459459459,0,0,0,0,0,0,1.91891891891892,0.72972972972973,0,1.91891891891892,0.72972972972973,14,14,NA
"5",5,"01005300","rat house",2014-06-25,2014,6,176,0.857142857142857,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571428571429,0,0,0,0,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77142857142857,0.971428571428571,0,1.77142857142857,0.971428571428571,4,4,NA
"6",6,"01006000","sandy river",2009-07-15,2009,7,196,0.0769230769230769,0,0,0,0,0,0.269230769230769,0,0,0,0,0,0.0192307692307692,0,0.0192307692307692,0.25,0,0,0.0192307692307692,0,0,0,0,0,0,0,0.0192307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134615384615385,0,0,0,0,0,0,0,0.153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961538461538462,0.692307692307692,0,0.961538461538462,0.692307692307692,9,9,NA
"7",7,"01006100","flowage",2011-07-29,2011,7,210,0.58974358974359,0,0.0512820512820513,0,0,0,0.384615384615385,0,0,0.0256410256410256,0,0,0,0,0.0256410256410256,0.230769230769231,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0.0256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56410256410256,0.717948717948718,0,1.56410256410256,0.717948717948718,9,9,612.41
"8",8,"01007200","rock",2011-07-21,2011,7,202,0.267857142857143,0,0.178571428571429,0,0,0,0.196428571428571,0,0,0.0892857142857143,0.0178571428571429,0,0.0357142857142857,0,0,0.0178571428571429,0,0,0.0357142857142857,0.0892857142857143,0,0,0,0,0,0,0.0892857142857143,0,0.125,0,0.0178571428571429,0,0,0,0.0178571428571429,0.0178571428571429,0,0,0,0,0,0.0178571428571429,0,0,0,0,0,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0.5,0,1.25,0.5,16,16,NA
"9",9,"01007600","sanders",2011-06-28,2011,6,179,0.933333333333333,0,0.222222222222222,0,0,0,0.955555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17777777777778,1,0,2.17777777777778,1,4,4,NA
"10",10,"01008000","libby",2011-08-03,2011,8,215,0.0178571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357142857142857,0,0,0,0.0178571428571429,0.160714285714286,0,0,0,0.0714285714285714,0,0,0,0,0.0178571428571429,0,0,0,0,0,0.0178571428571429,0.0178571428571429,0,0,0,0,0,0,0,0.0178571428571429,0,0,0,0,0,0,0,0,0.232142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178571428571429,0,0,0,0,0,0,0.625,0.464285714285714,0,0.625,0.464285714285714,11,11,NA
