,Lake.ID,Year,Lake.x,Trt,YrsTrt,PrevAUGSecchi,Snow,APRMAYPcri,JUNPcri,DIFF.4.6,County,Lake.area.acre,Proportion.littoral,Max.depth,Acres_Chem,litt.ac,perc.lit.chem,Ice_off,lag0_before,lag0_after,acres_lag0_before,acres_lag0_after,date_lag0_before,date_lag0_after,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8
1,2005300,2018,Ham,0,1,2.1,3.1,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,113.8032234,0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0
2,2005300,2019,Ham,0,1,2.07,5.5,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,101.9364162,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0
3,2005300,2019,Ham,0,1,2.07,5.5,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,101.9364162,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0
4,2005300,2020,Ham,0,1,2.4,4.7,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,95.7804594,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0
5,2005300,2020,Ham,0,1,2.4,4.7,NA,NA,NA,NA,190.45,0.8936,22,NA,190.45,NA,95.7804594,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0
6,2008400,2017,Crooked,1,1,2.05,1.3,NA,NA,NA,NA,84.017,0.731,26,2.12,84.02,2.52320876,81.63437773,1,0,2.12,NA,5/1/2017,NA,0,0,0,0,0,0,0,0
7,2008400,2018,Crooked,1,2,2.1,3.1,NA,NA,NA,NA,84.017,0.731,26,13.8,84.02,16.4246608,113.7171976,1,0,13.8,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
8,10000200,2017,Riley,1,1,1.63,1.3,0.29,0.22,-0.07,NA,110.083,0.3718,49,20,110.08,18.16860465,81.06417037,1,0,20,NA,5/1/2017,NA,0,0,0,0,0,0,0,0
9,10000200,2017,Riley,1,1,1.63,1.3,0.29,0.22,-0.07,NA,110.083,0.3718,49,20,110.08,18.16860465,81.06417037,1,0,20,NA,5/1/2017,NA,0,0,0,0,0,0,0,0
10,10000200,2018,Riley,1,2,1.83,3.1,NA,NA,NA,NA,110.083,0.3718,49,15.7,110.08,14.26235465,113.1469902,1,0,15.7,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
11,10000200,2018,Riley,1,2,1.83,3.1,NA,NA,NA,NA,110.083,0.3718,49,15.7,110.08,14.26235465,113.1469902,1,0,15.7,NA,5/1/2018,NA,1,0,0,0,0,0,0,0
12,10000200,2020,Riley,1,3,2.02,4.7,0.3,NA,NA,NA,110.083,0.3718,49,16,110.08,14.53488372,95.1242262,1,0,16,NA,5/1/2020,NA,0,1,1,0,0,0,0,0
13,10000200,2020,Riley,1,3,2.02,4.7,0.3,NA,NA,NA,110.083,0.3718,49,16,110.08,14.53488372,95.1242262,1,0,16,NA,5/1/2020,NA,0,1,1,0,0,0,0,0
14,10000200,2022,Riley,1,5,4.5,3.8,NA,0.29,NA,NA,110.083,0.3718,49,16.7,110.08,15.17078488,107.9380451,1,0,16.7,NA,5/1/2022,NA,1,1,0,1,1,0,0,0
15,10000200,2022,Riley,1,5,4.5,3.8,NA,0.29,NA,NA,110.083,0.3718,49,16.7,110.08,15.17078488,107.9380451,1,0,16.7,NA,5/1/2022,NA,1,1,0,1,1,0,0,0
16,10000200,2023,Riley,1,6,3.9,7.7,0.26,0.29,0.03,NA,110.083,0.3718,49,9,110.08,8.175872093,108.1268822,1,0,9,NA,5/17/2023,NA,1,1,1,0,1,1,0,0
17,10000200,2023,Riley,1,6,3.9,7.7,0.26,0.29,0.03,NA,110.083,0.3718,49,9,110.08,8.175872093,108.1268822,1,0,9,NA,5/17/2023,NA,1,1,1,0,1,1,0,0
18,10000200,2023,Riley,1,6,3.9,7.7,0.26,0.29,0.03,NA,110.083,0.3718,49,9,110.08,8.175872093,108.1268822,1,0,9,NA,5/17/2023,NA,1,1,1,0,1,1,0,0
19,10000900,2025,Minnewashta,1,9,2.64,1.2,NA,NA,NA,NA,337.891,0.5021,70,50.1,337.89,14.82731066,89.25334975,1,0,50.1,NA,5/9/2025,NA,1,1,1,1,1,1,1,1
20,10001300,2017,Susan,1,1,0.37,1.3,0.19,0.03,-0.16,NA,71.994,0.815,17,9,71.99,12.50173635,80.205464,1,0,9,NA,5/1/2017,NA,0,0,0,0,0,0,0,0
