"","Lake.ID","Year","Lake.x","Max.depth","litt.ac","Lake.area.ac","Proportion.littoral","PrevAugSecchi","PrevAugSecchi.sc","IceDuration","IceDuration.sc","IceOff","Snow","Snow.sc","foc_clp","pcri.e_foc","SURVEY_START","nsamp","perc.lit.chem","Acres_Chem","trt_date_lag0","YrsTrt","cytrt","yutrt","Trt","lag0","lag1","lag2","lag3","lag4","lag5","lag6","lag7","lag8","obs"
"1","10001300",2020,"Susan",17,71.99,88.33128834,0.815,0.65,-0.484258223414755,135,0.293448027108912,NA,11.938,0.422861105094415,0.45,0.451219512,"5/18/2020",82,0,0,NA,2,0,2,"0",0,"0",1,1,0,0,0,0,0,1
"2","10001300",2023,"Susan",17,71.99,88.33128834,0.815,0.62,-0.529542380648554,141,0.741822031262901,NA,19.558,1.54523814055445,0.23,0.229166667,"5/15/2023",96,7.4315877,5.35,"5/17/2023",5,2,1,"0",0,"1",1,0,0,1,1,0,0,2
"3","27002800",2017,NA,6.5,52.63,52.63,1,0.6,-0.559731818804421,101,-2.24733799643036,NA,3.302,-0.849166201760297,1,1,"4/23/2017",125,14.0604218,7.4,"5/1/2017",1,0,9,"0",0,"0",0,0,0,0,0,0,0,3
"4","27002800",2018,NA,6.5,52.63,52.63,1,0.2,-1.16352058192175,142,0.816551031955233,NA,7.874,-0.175739980484273,0.97,0.968,"5/13/2018",125,14.0604218,7.4,"6/1/2018",2,1,1,"0",0,"1",0,0,0,0,0,0,0,4
"5","27002800",2020,NA,6.5,52.63,52.63,1,0.45,-0.786152604973418,135,0.293448027108912,NA,11.938,0.422861105094415,0.37,0.368,"4/18/2020",125,14.0604218,7.4,"5/1/2020",4,3,1,"0",0,"1",1,1,0,0,0,0,0,5
"6","27002800",2021,NA,6.5,52.63,52.63,1,0.2,-1.16352058192175,110,-1.57477699019938,NA,11.176,0.310623401548411,0.38,0.376,"4/24/2021",125,14.0604218,7.4,"5/1/2021",5,4,1,"0",0,"1",1,1,1,0,0,0,0,6
"7","27002800",2023,NA,6.5,52.63,52.63,1,0.35,-0.93709979575275,141,0.741822031262901,NA,19.558,1.54523814055445,0.05,0.048,"5/13/2023",250,0,0,NA,6,6,1,"0",0,"1",1,1,1,1,1,0,0,7
"8","27003400",2018,"Crystal",39,53,79.11628601,0.6699,0.4,-0.861626200363084,143,0.891280032647565,NA,7.874,-0.175739980484273,0.02,0.02173913,"5/23/2018",46,0,0,NA,1,1,1,"0",0,"1",0,0,0,0,0,0,0,8
"9","27004400",2020,NA,NA,16,16,1,0.5,-0.710679009583752,135,0.293448027108912,NA,11.938,0.422861105094415,0.71,0.71,"4/25/2020",100,13.125,2.1,"5/1/2020",2,1,1,"0",0,"1",0,0,0,0,0,0,0,9
"10","27004400",2023,NA,NA,16,16,1,0.78,-0.288026875401623,141,0.741822031262901,NA,19.558,1.54523814055445,0.01,0.01,"5/13/2023",100,0,0,NA,4,4,1,"0",0,"1",1,1,1,0,0,0,0,10
"11","27004400",2024,NA,NA,16,16,1,1.5,0.798792898209565,123,-0.603299981199066,NA,1.524,-1.11105417670097,0.06,0.06,"4/5/2024",100,5.4375,0.87,"4/25/2024",5,0,2,"0",0,"0",1,1,1,1,0,0,0,11
"12","27004500",2017,NA,7,22.03,22.03,1,NA,NA,101,-2.24733799643036,NA,3.302,-0.849166201760297,1,1,"4/23/2017",128,13.6177939,3,"5/1/2017",1,0,9,"0",0,"0",0,0,0,0,0,0,0,12
"13","27004500",2018,NA,7,22.03,22.03,1,NA,NA,143,0.891280032647565,NA,7.874,-0.175739980484273,0.93,0.9296875,"5/13/2018",128,9.0785293,2,"6/1/2018",2,1,1,"0",0,"1",0,0,0,0,0,0,0,13
"14","27004500",2020,NA,7,22.03,22.03,1,0.7,-0.408784628025089,135,0.293448027108912,NA,11.938,0.422861105094415,0.28,0.28125,"4/25/2020",128,9.0785293,2,"5/1/2020",4,3,1,"0",0,"1",1,1,0,0,0,0,0,14
"15","27004500",2023,NA,7,22.03,22.03,1,1,0.0440569443129063,141,0.741822031262901,NA,19.558,1.54523814055445,0.45,0.4453125,"5/13/2023",128,9.0785293,2,"5/24/2023",7,6,1,"0",0,"1",1,1,1,1,1,0,0,15
"16","27004500",2024,NA,7,22.03,22.03,1,0.99,0.0289622252349731,123,-0.603299981199066,NA,1.524,-1.11105417670097,0.66,0.65625,"4/5/2024",128,9.0785293,2,"4/25/2024",8,7,1,"0",0,"1",1,1,1,1,1,1,0,16
"17","27004800",2018,"Hyland",11.5,83.91,84.33165829,0.995,0.5,-0.710679009583752,142,0.816551031955233,NA,7.874,-0.175739980484273,0.01,0.008064516,"5/18/2018",124,0,0,NA,1,1,1,"0",0,"1",0,0,0,0,0,0,0,17
"18","27004800",2019,"Hyland",11.5,83.91,84.33165829,0.995,0.58,-0.589921256960287,142,0.816551031955233,NA,13.97,0.722161647883759,0.2,0.2,"4/30/2019",125,22.6433083,19,"5/1/2019",2,0,2,"0",0,"0",1,0,0,0,0,0,0,18
"19","27004800",2020,"Hyland",11.5,83.91,84.33165829,0.995,0.7,-0.408784628025089,134,0.218719026416581,NA,11.938,0.422861105094415,0.15,0.14516129,"4/17/2020",124,10.7257776,9,"4/30/2020",3,1,1,"0",0,"1",0,1,0,0,0,0,0,19
"20","27005500",2018,NA,NA,13,13,1,0.7,-0.408784628025089,143,0.891280032647565,NA,7.874,-0.175739980484273,0.08,0.084210526,"5/13/2018",95,24.6153846,3.2,"6/1/2018",1,0,9,"0",0,"0",0,0,0,0,0,0,0,20
"21","27005500",2021,NA,NA,13,13,1,1.1,0.195004135092238,110,-1.57477699019938,NA,11.176,0.310623401548411,0.05,0.052631579,"5/2/2021",95,0,0,NA,3,3,1,"0",0,"1",1,1,0,0,0,0,0,21
