"","survey_id","DOW","SURVEY_START","lag0_before","lag0_after","lag1","lag2","lag3","lag4","lag5","lag6","lag7","lag8"
"1",28,"02005300",2018-07-09,0,0,1,0,0,0,0,0,0,0
"2",29,"02005300",2019-07-10,0,0,0,1,0,0,0,0,0,0
"3",30,"02005300",2019-08-19,0,0,0,1,0,0,0,0,0,0
"4",31,"02005300",2020-07-23,0,0,0,0,1,0,0,0,0,0
"5",32,"02005300",2020-08-24,0,0,0,0,1,0,0,0,0,0
"6",34,"02008400",2017-08-14,1,0,0,0,0,0,0,0,0,0
"7",35,"02008400",2018-08-14,1,0,1,0,0,0,0,0,0,0
"8",63,"10000200",2017-06-15,1,0,0,0,0,0,0,0,0,0
"9",64,"10000200",2017-09-06,1,0,0,0,0,0,0,0,0,0
"10",65,"10000200",2018-07-11,1,0,1,0,0,0,0,0,0,0
"11",66,"10000200",2018-08-22,1,0,1,0,0,0,0,0,0,0
"12",67,"10000200",2020-05-08,1,0,0,1,1,0,0,0,0,0
"13",68,"10000200",2020-07-02,1,0,0,1,1,0,0,0,0,0
"14",69,"10000200",2020-08-25,1,0,0,1,1,0,0,0,0,0
"15",70,"10000200",2022-06-21,1,0,1,1,0,1,1,0,0,0
"16",71,"10000200",2022-08-22,1,0,1,1,0,1,1,0,0,0
"17",72,"10000200",2023-05-18,1,0,1,1,1,0,1,1,0,0
"18",73,"10000200",2023-06-19,1,0,1,1,1,0,1,1,0,0
"19",74,"10000200",2023-08-22,1,0,1,1,1,0,1,1,0,0
"20",76,"10000900",2025-07-10,1,0,1,1,1,1,1,1,1,1
"21",82,"10001300",2017-05-04,1,0,0,0,0,0,0,0,0,0
"22",83,"10001300",2017-06-12,1,0,0,0,0,0,0,0,0,0
"23",84,"10001300",2018-06-21,1,0,1,0,0,0,0,0,0,0
"24",85,"10001300",2020-05-18,0,0,0,1,1,0,0,0,0,0
"25",86,"10001300",2020-06-18,0,0,0,1,1,0,0,0,0,0
"26",87,"10001300",2020-08-13,0,0,0,1,1,0,0,0,0,0
"27",88,"10001300",2022-06-28,1,0,1,0,0,1,1,0,0,0
"28",89,"10001300",2022-08-15,1,0,1,0,0,1,1,0,0,0
"29",90,"10001300",2023-05-15,0,1,1,1,0,0,1,1,0,0
"30",91,"10001300",2023-06-13,1,0,1,1,0,0,1,1,0,0
"31",92,"10001300",2023-08-16,1,0,1,1,0,0,1,1,0,0
