Lake.ID,Year,Lake.x,Max.depth,litt.ac,Lake.area.ac,Proportion.littoral,PrevAugSecchi,PrevAugSecchi.sc,IceDuration,IceDuration.sc,IceOff,Snow,Snow.sc,foc_clp,pcri.e_foc,SURVEY_START,nsamp,perc.lit.chem,Acres_Chem,trt_date_lag0,YrsTrt,cytrt,yutrt,Trt,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,obs
10001300,2020,Susan,17,71.99,88.33128834,0.815,0.65,-0.305595592,135,0.293448027,,11.938,0.079564716,0.45,0.451219512,5/18/2020,82,0,0,NA,2,0,2,0,0,0,1,1,0,0,0,0,0,1
10001300,2023,Susan,17,71.99,88.33128834,0.815,0.62,-0.358697381,141,0.741822031,,19.558,1.318357122,0.23,0.229166667,5/15/2023,96,7.4315877,5.35,5/17/2023,5,2,1,0,0,1,1,0,0,1,1,0,0,2
27002800,2017,NA,6.5,52.63,52.63,1,0.6,-0.394098574,101,-2.247337996,,3.302,-1.324400012,1,1,4/23/2017,125,14.0604218,7.4,5/1/2017,1,0,9,0,0,0,0,0,0,0,0,0,0,3
27002800,2018,NA,6.5,52.63,52.63,1,0.2,-1.102122432,142,0.816551032,,7.874,-0.581124568,0.97,0.968,5/13/2018,125,14.0604218,7.4,6/1/2018,2,1,1,0,0,1,0,0,0,0,0,0,0,4
27002800,2020,NA,6.5,52.63,52.63,1,0.45,-0.659607521,135,0.293448027,,11.938,0.079564716,0.37,0.368,4/18/2020,125,14.0604218,7.4,5/1/2020,4,3,1,0,0,1,1,1,0,0,0,0,0,5
27002800,2021,NA,6.5,52.63,52.63,1,0.2,-1.102122432,110,-1.57477699,,11.176,-0.044314525,0.38,0.376,4/24/2021,125,14.0604218,7.4,5/1/2021,5,4,1,0,0,1,1,1,1,0,0,0,0,6
27002800,2023,NA,6.5,52.63,52.63,1,0.35,-0.836613485,141,0.741822031,,19.558,1.318357122,0.05,0.048,5/13/2023,250,0,0,NA,6,6,1,0,0,1,1,1,1,1,1,0,0,7
27003400,2018,Crystal,39,53,79.11628601,0.6699,0.4,-0.748110503,143,0.891280033,,7.874,-0.581124568,0.02,0.02173913,5/23/2018,46,0,0,NA,1,1,1,0,0,1,0,0,0,0,0,0,0,8
27004400,2020,NA,NA,16,16,1,0.5,-0.571104539,135,0.293448027,,11.938,0.079564716,0.71,0.71,4/25/2020,100,13.125,2.1,5/1/2020,2,1,1,0,0,1,0,0,0,0,0,0,0,9
27004400,2023,NA,NA,16,16,1,0.78,-0.075487838,141,0.741822031,,19.558,1.318357122,0.01,0.01,5/13/2023,100,0,0,NA,4,4,1,0,0,1,1,1,1,0,0,0,0,10
