,Lake.ID,Year,Lake.x,Trt,YrsTrt,PrevAUGSecchi,Snow,APRMAYPcri,County,Lake.area.acre,Proportion.littoral,Max.depth,Acres_Chem,litt.ac,perc.lit.chem,Ice_off,Snow.sc,PrevAUGSecchi.sc,Ice_off.sc,lake_year,cytrt,yutrt,foc_clp,Trte,nsamp,obs
1,10000200,2017,Riley,1,1,1.63,3.302,0.29,NA,110.083,0.3718,49,20,110.08,18.16860465,81.06417037,-1.130972591,0.484279561,-1.122338622,2017,0,NA,0.29,0,185,1
2,10000200,2020,Riley,1,3,2.02,11.938,0.3,NA,110.083,0.3718,49,16,110.08,14.53488372,95.1242262,0.391993343,0.887995886,-0.15407765,2020,2,1,0.3,0,166,2
3,10000200,2023,Riley,1,6,3.9,19.558,0.26,NA,110.083,0.3718,49,9,110.08,8.175872093,108.1268822,1.735786813,2.834115608,0.74136434,2023,2,0,0.26,1,172,3
4,10001300,2017,Susan,1,1,0.37,3.302,0.19,NA,71.994,0.815,17,9,71.99,12.50173635,80.205464,-1.130972591,-0.820034721,-1.181474366,2017,0,NA,0.19,0,81,4
5,10001300,2020,Susan,0,2,0.65,11.938,0.45,NA,71.994,0.815,17,NA,71.99,0,94.26551984,0.391993343,-0.530187103,-0.213213394,2020,2,1,0.45,0,82,5
6,10001300,2023,Susan,1,5,0.62,19.558,0.23,NA,71.994,0.815,17,5.35,71.99,7.431587721,107.2681759,1.735786813,-0.561242205,0.682228596,2023,1,0,0.23,0,96,6
7,27002800,2017,NA,1,1,0.6,3.302,1,NA,NA,NA,6.5,7.4,NA,NA,NA,-1.130972591,-0.581945606,NA,2017,0,NA,1,0,125,7
8,27002800,2018,NA,1,2,0.2,7.874,0.97,NA,NA,NA,6.5,7.4,NA,NA,NA,-0.324696508,-0.996013632,NA,2018,0,0,0.97,1,125,8
9,27002800,2020,NA,1,4,NA,11.938,0.37,NA,NA,NA,6.5,7.4,NA,NA,NA,0.391993343,NA,NA,2020,2,0,0.37,1,125,9
10,27002800,2021,NA,1,5,0.2,11.176,0.38,NA,NA,NA,6.5,7.4,NA,NA,NA,0.257613995,-0.996013632,NA,2021,3,0,0.38,1,125,10
