Lake.ID,Year,Lake.x,Max.depth,litt.ac,Lake.area.ac,Proportion.littoral,PrevAugSecchi,PrevAugSecchi.sc,IceDuration,IceDuration.sc,IceOff,Snow,Snow.sc,lake_year,foc_clp,SURVEY_START,nsamp,pcri.p_foc,perc.lit.chem,Acres_Chem,trt_date_lag0,YrsTrt,cytrt,yutrt,Trt,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,obs
10000200,2017,Riley,49,110.08,296.0731576,0.3718,1.63,0.638619145,100,-1.946065016,,3.302,-0.991504362,2017,0.21686747,6/15/2017,166,0.21686747,18.16860465,20,5/1/2017,1,1,0,1,1,0,0,0,0,0,0,0,0,2
10000200,2023,Riley,49,110.08,296.0731576,0.3718,3.9,3.208188645,140,0.722061827,,19.558,2.039977018,2023,0.294444444,6/19/2023,180,0.294444444,8.175872093,9,5/17/2023,6,4,0,1,1,1,1,1,0,1,1,0,0,5
10000200,2022,Riley,49,110.08,296.0731576,0.3718,4.5,3.88737001,131,0.121733287,,9.652,0.192668052,2022,0.286516854,6/21/2022,178,0.286516854,15.17078488,16.7,5/1/2022,5,3,0,1,1,1,1,0,1,1,0,0,0,32
10001300,2017,Susan,17,71.99,88.33128834,0.815,0.37,-0.787661723,101,-1.879361845,,3.302,-0.991504362,2017,0.032967033,6/12/2017,91,0.032967033,12.50173635,9,5/1/2017,1,1,0,1,1,0,0,0,0,0,0,0,0,7
10001300,2020,Susan,17,71.99,88.33128834,0.815,0.65,-0.470710419,135,0.388545972,,11.938,0.618970122,2020,0.25,6/18/2020,116,0.25,0,0,NA,2,0,2,0,0,0,1,1,0,0,0,0,0,8
10001300,2023,Susan,17,71.99,88.33128834,0.815,0.62,-0.504669487,141,0.788764998,,19.558,2.039977018,2023,0.122137405,6/13/2023,131,0.122137405,7.431587721,5.35,5/17/2023,5,3,0,1,1,1,1,0,0,1,1,0,0,9
10001300,2018,Susan,17,71.99,88.33128834,0.815,0.52,-0.617866381,142,0.855468169,,7.874,-0.138900223,2018,0.068627451,6/21/2018,102,0.068627451,10.73760244,7.73,5/1/2018,2,2,0,1,1,1,0,0,0,0,0,0,0,33
10001300,2022,Susan,17,71.99,88.33128834,0.815,0.71,-0.402792282,132,0.188436458,,9.652,0.192668052,2022,0.263636364,6/28/2022,110,0.263636364,11.45992499,8.25,5/1/2022,4,2,0,1,1,1,0,0,1,1,0,0,0,34
13002700,2025,South Center,105.3000031,544.51,831.5668907,0.6548,0.72,-0.391472593,127,-0.145079397,,3.048,-1.038871258,2025,0.846774194,6/12/2025,124,0.846774194,1.287396007,7.01,5/14/2025,7,3,0,1,1,1,1,0,0,1,1,1,1,35
13002700,2025,South Center,105.3000031,544.51,831.5668907,0.6548,0.72,-0.391472593,127,-0.145079397,,3.048,-1.038871258,2025,0.846774194,6/12/2025,124,0.846774194,1.287396007,7.01,5/14/2025,7,3,0,1,1,1,1,0,0,1,1,1,1,35
13002700,2025,South Center,105.3000031,544.51,831.5668907,0.6548,0.72,-0.391472593,127,-0.145079397,,3.048,-1.038871258,2025,0.846774194,6/12/2025,124,0.846774194,1.287396007,7.01,5/14/2025,7,3,0,1,1,1,1,0,0,1,1,1,1,35
