"","...1","...2","Lake.ID","Year","Lake.x","Trt","YrsTrt","PrevAUGSecchi","Snow","JUNPcri","County","Lake.area.acre","Proportion.littoral","Max.depth","Acres_Chem","litt.ac","perc.lit.chem","Ice_off","Snow.sc","PrevAUGSecchi.sc","Ice_off.sc","lake_year","cytrt","yutrt","foc_clp","obs","nsamp"
"1",1,1,"2005300",2018,"Ham","0",1,2.1,7.874,NA,NA,190.45,0.8936,22,NA,190.45,NA,113.8032234,-0.324696508,0.970809491111885,1.132271722,2018,1,0,NA,1,NA
"2",2,2,"2005300",2019,"Ham","0",1,2.07,13.97,NA,NA,190.45,0.8936,22,NA,190.45,NA,101.9364162,0.750338268,0.939754389170893,0.315051192,2019,0,1,NA,2,NA
"3",3,3,"2005300",2019,"Ham","0",1,2.07,13.97,NA,NA,190.45,0.8936,22,NA,190.45,NA,101.9364162,0.750338268,0.939754389170893,0.315051192,2019,0,1,NA,3,NA
"4",4,4,"2005300",2020,"Ham","0",1,2.4,11.938,NA,NA,190.45,0.8936,22,NA,190.45,NA,95.7804594,0.391993343,1.28136051052181,-0.10888544,2020,0,2,NA,4,NA
"5",5,5,"2005300",2020,"Ham","0",1,2.4,11.938,NA,NA,190.45,0.8936,22,NA,190.45,NA,95.7804594,0.391993343,1.28136051052181,-0.10888544,2020,0,2,NA,5,NA
"6",6,6,"2008400",2017,"Crooked","1",1,2.05,3.302,NA,NA,84.017,0.731,26,2.12,84.02,2.52320876,81.63437773,-1.130972591,0.919050987876898,-1.083070675,2017,0,NA,NA,6,NA
"7",7,7,"2008400",2018,"Crooked","1",2,2.1,7.874,NA,NA,84.017,0.731,26,13.8,84.02,16.4246608,113.7171976,-0.324696508,0.970809491111885,1.12634746,2018,1,0,NA,7,NA
"8",8,8,"10000200",2017,"Riley","1",1,1.63,3.302,0.22,NA,110.083,0.3718,49,20,110.08,18.16860465,81.06417037,-1.130972591,0.484279560703008,-1.122338622,2017,0,NA,0.22,8,185
"9",9,9,"10000200",2017,"Riley","1",1,1.63,3.302,0.22,NA,110.083,0.3718,49,20,110.08,18.16860465,81.06417037,-1.130972591,0.484279560703008,-1.122338622,2017,0,NA,0.22,9,185
"10",10,10,"10000200",2018,"Riley","1",2,1.83,7.874,NA,NA,110.083,0.3718,49,15.7,110.08,14.26235465,113.1469902,-0.324696508,0.691313573642956,1.087079513,2018,1,0,NA,10,171
"11",11,11,"10000200",2018,"Riley","1",2,1.83,7.874,NA,NA,110.083,0.3718,49,15.7,110.08,14.26235465,113.1469902,-0.324696508,0.691313573642956,1.087079513,2018,1,0,NA,11,171
"12",12,12,"10000200",2020,"Riley","1",3,2.02,11.938,NA,NA,110.083,0.3718,49,16,110.08,14.53488372,95.1242262,0.391993343,0.887995885935906,-0.15407765,2020,0,1,NA,12,166
"13",13,13,"10000200",2020,"Riley","1",3,2.02,11.938,NA,NA,110.083,0.3718,49,16,110.08,14.53488372,95.1242262,0.391993343,0.887995885935906,-0.15407765,2020,0,1,NA,13,166
"14",14,14,"10000200",2022,"Riley","1",5,4.5,9.652,0.29,NA,110.083,0.3718,49,16.7,110.08,15.17078488,107.9380451,-0.011144699,3.45521764639126,0.72835987,2022,2,0,0.29,14,178
"15",15,15,"10000200",2022,"Riley","1",5,4.5,9.652,0.29,NA,110.083,0.3718,49,16.7,110.08,15.17078488,107.9380451,-0.011144699,3.45521764639126,0.72835987,2022,2,0,0.29,15,178
"16",16,16,"10000200",2023,"Riley","1",6,3.9,19.558,0.29,NA,110.083,0.3718,49,9,110.08,8.175872093,108.1268822,1.735786813,2.83411560757141,0.74136434,2023,3,0,0.29,16,172
"17",17,17,"10000200",2023,"Riley","1",6,3.9,19.558,0.29,NA,110.083,0.3718,49,9,110.08,8.175872093,108.1268822,1.735786813,2.83411560757141,0.74136434,2023,3,0,0.29,17,172
"18",18,18,"10000200",2023,"Riley","1",6,3.9,19.558,0.29,NA,110.083,0.3718,49,9,110.08,8.175872093,108.1268822,1.735786813,2.83411560757141,0.74136434,2023,3,0,0.29,18,172
