,Lake.ID,Year,Lake.x,Max.depth,litt.ac,Lake.area.ac,Proportion.littoral,PrevAugSecchi,PrevAugSecchi.sc,IceDuration,IceDuration.sc,IceOff,Snow,Snow.sc,lake_year,foc_clp,SURVEY_START,nsamp,pcri.p_foc,perc.lit.chem,Acres_Chem,trt_date_lag0,YrsTrt,cytrt,yutrt,Trt,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,obs,pcri.e_foc,large_trt
4,10000200,2017,Riley,49,110.08,296.0731576,0.3718,1.63,0.575137078,100,-2.211228575,NA,3.302,-0.740473714,2017,0.21686747,6/15/2017,166,0.21686747,18.16860465,20,5/1/2017,1,1,0,1,1,0,0,0,0,0,0,0,0,1,NA,
2,10000200,2022,Riley,49,110.08,296.0731576,0.3718,4.5,3.875977844,131,0.076167185,NA,9.652,0.422756942,2022,0.286516854,6/21/2022,178,0.286516854,15.17078488,16.7,5/1/2022,5,3,0,1,1,1,1,0,1,1,0,0,0,3,NA,
20,10001300,2020,Susan,17,71.99,88.33128834,0.815,0.65,-0.551979282,135,0.371315024,NA,11.938,0.841519978,2020,0.25,6/18/2020,116,0.25,0,0,NA,2,0,2,0,0,0,1,1,0,0,0,0,0,5,NA,0
51,10001300,2020,Susan,17,71.99,88.33128834,0.815,0.65,-0.484258223,135,0.293448027,NA,11.938,0.422861105,NA,0.45,5/18/2020,82,NA,0,0,NA,2,0,2,0,0,0,1,1,0,0,0,0,0,1,0.451219512,0
34,27002800,2023,NA,6.5,52.63,52.63,1,0.35,-0.897014902,141,0.814036784,NA,19.558,2.237396765,2023,0.544,6/26/2023,125,0.544,0,0,NA,6,0,1,0,0,1,1,1,1,1,1,0,0,13,NA,0
31,27002800,2024,NA,6.5,52.63,52.63,1,0.46,-0.770501841,123,-0.514128495,NA,1.524,-1.066178298,2024,0.32,6/12/2024,125,0.32,94.81284439,49.9,4/18/2024,7,1,0,1,1,0,1,1,1,1,1,1,0,14,NA,
22,27002800,2025,NA,6.5,52.63,52.63,1,0.64,-0.563480469,123,-0.514128495,NA,3.048,-0.78700294,2025,0.056,6/10/2025,125,0.056,94.81284439,49.9,4/30/2025,8,2,0,1,1,1,0,1,1,1,1,1,1,15,NA,
60,27002800,2023,NA,6.5,52.63,52.63,1,0.35,-0.937099796,141,0.741822031,NA,19.558,1.545238141,NA,0.05,5/13/2023,250,NA,0,0,NA,6,6,1,0,0,1,1,1,1,1,1,0,0,7,0.048,
10,27003400,2020,Crystal,39,53,79.11628601,0.6699,1,-0.149437725,136,0.445101984,NA,11.938,0.841519978,2020,0.035087719,6/10/2020,57,0.035087719,0,0,NA,2,0,1,0,0,1,0,1,0,0,0,0,0,16,NA,0
59,27003400,2018,Crystal,39,53,79.11628601,0.6699,0.4,-0.8616262,143,0.891280033,NA,7.874,-0.17573998,NA,0.02,5/23/2018,46,NA,0,0,NA,1,1,1,0,0,1,0,0,0,0,0,0,0,8,0.02173913,
49,27004400,2023,NA,NA,16,16,1,0.78,-0.288026875,141,0.741822031,NA,19.558,1.545238141,NA,0.01,5/13/2023,100,NA,0,0,NA,4,4,1,0,0,1,1,1,1,0,0,0,0,10,0.01,
30,27004800,2018,Hyland,11.5,83.91,84.33165829,0.995,0.5,-0.724497092,142,0.887823744,NA,7.874,0.097052358,2018,0.064516129,6/6/2018,124,0.064516129,0,0,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,17,NA,0
