DOW,in pcri?,DOW6,LakeName,County,In mike's 2017 dataset?,Added
10004100,0,,,,,1
21007600,0,,,,,1
27007000,0,,,,,1
27011900,0,,,,,1
29025000,0,,,,,1
40000200,0,,,,,1
41004300,0,,,,,1
66003800,0,,,,,1
70005000,0,,,,,1
70009100,0,,,,,1
73003700,0,,,,,1
86026400,0,,,,,1
2005300,0,20053,Ham,Anoka,0,
2008400,0,20084,Crooked,Anoka,0,
10000700,0,100007,Fire Lake,Carver,NA,
10000900,0,100009,Minnewashta,Carver,1,
10005900,0,100059,Parley Lake,Carver,NA,
13002800,0,130028,South Lindstrom,Chisago,0,
18027100,0,180271,Serpent Lake,Crow Wing,NA,
18035200,0,180352,Ossawinnamakee,Crow Wing,0,
18040300,0,180403,Gull Lake,Crow Wing,NA,
27004200,0,270042,Bde Maka Ska,Hennepin,NA,
27006700,0,270067,Harriet Lake,Hennepin,NA,
27007600,0,270076,Red Rock,Hennepin,0,
27014100,0,270141,Medicine Lake,Hennepin,NA,
47009500,0,470095,Stella Lake,Meeker,NA,
62001600,0,620016,Vadnais Lake,Ramsey,NA,
70007200,0,700072,Upper Prior,Scott,0,
71008200,0,710082,Eagle Lake,Sherburne,NA,
71014500,0,710145,Elk Lake,Sherburne,NA,
71014700,0,710147,Rush,Sherburne,1,
73001400,0,730014,Marie,Stearns,0,
73008300,0,730083,Great Northern,Stearns,0,
73008700,0,730087,Krays,Stearns,0,
73013900,0,730139,Long,Stearns,0,
86015200,0,860152,Buffalo Lake,Wright,NA,
86019900,0,860199,Pulaski Lake,Wright,NA,
86023400,0,860234,Bass,Wright,0,
86028200,0,860282,Louisa,Wright,0,
10000200,1,100002,Riley,Carver,1,
10001300,1,100013,Susan,Carver,1,
13002700,1,130027,South Center,Chisago,1,
13003200,1,130032,North Center,Chisago,0,
27002800,1,270028,Cornelia,Hennepin,0,
27003400,1,270034,Crystal,Hennepin,0,
27004400,1,270044,Indianhead,Hennepin,0,
27004500,1,270045,Arrowhead,Hennepin,0,
27004800,1,270048,Hyland,Hennepin,1,
27005500,1,270055,Mirror,Hennepin,0,
27005700,1,270057,Meadow,Hennepin,0,
27007800,1,270078,Staring,Hennepin,1,
27009000,1,270090,Holiday,Hennepin,0,
27009800,1,270098,Bass,Hennepin,0,
27010300,1,270103,Lost,Hennepin,0,
27010400,1,270104,Medicine,Hennepin,1,
27012500,1,270125,Diamond,Hennepin,0,
27019100,1,270191,Sarah,Hennepin,1,
27019100,1,270191,Sarah,Hennepin,1,
27027500,1,270275,NA,Hennepin,0,
27066900,1,270669,Melody,Hennepin,0,
27067700,1,270677,Nancy,Hennepin,0,
62000200,1,620002,Bald Eagle,Ramsey,1,
62000600,1,620006,Kohlman,Ramsey,1,
62005500,1,620055,Como,Ramsey,1,
70002200,1,700022,Cleary,Scott,1,
71001300,1,710013,Orono,Sherburne,0,
73008200,1,730082,Schneider,Stearns,0,
73008600,1,730086,Knaus,Stearns,0,
73008800,1,730088,Bolfing,Stearns,0,
73008900,1,730089,Koronis Lake,Stearns,NA,
73013300,1,730133,Cedar Island,Stearns,0,
73015700,1,730157,Horseshoe,Stearns,0,
82010100,1,820101,DeMontreville,Washington,0,
82010300,1,820103,Olson,Washington,0,
82016200,1,820162,Shields,Washington,0,
86002300,1,860023,Beebe,Wright,0,
