OBJECTID,DOWLKNUM,LK_PCTLTRL,LK_LZACRES,LK_LZDEPTH,AREA,ACRES,PERFEET,PERIMETER,LAKE_NAME,Shape_Length,Shape_Area
101988,01000100,33.33000183,125.92,15,509596.7,125.921,48161.464,14679.644,Pine,14679.64351,509596.7019
101989,01001500,59.25,43.96,15,177889.825,43.957,13209.906,4026.387,Shumway,4026.387648,177889.84
101990,01001900,95.55999756,165.73,15,670700.835,165.73,14442.881,4402.199,Wolf,4402.198811,670700.8355
101991,01002300,65.45999908,362.33,15,1466335.919,362.332,34041.832,10375.971,Round,10375.97122,1466335.919
101992,01002700,50.77000046,44.87,15,181586.891,44.87,15742.206,4798.234,Sheriff,4798.234101,181586.8908
101993,01003300,91.38999939,2152.39,15,8710587.263,2152.386,128943.48,39302.051,Minnewawa,39302.05114,8710587.24
101994,01003400,100,240.06,15,971501.243,240.058,19657.352,5991.573,Horseshoe,5991.572958,971501.2428
101995,01004500,99.70999908,191.28,15,774085.715,191.277,19051.408,5806.881,Blackface,5806.880758,774085.7107
101996,01004600,30.38999939,51.16,15,207022.116,51.155,25989.653,7921.662,Ball Bluff,7921.662597,207022.1252
101997,01005500,49.61999893,39.46,15,159707.073,39.464,19758.372,6022.364,Boot,6022.363877,159707.0679
101998,01005600,64.11000061,72.27,15,292489.091,72.274,17634.245,5374.929,Cutaway,5374.929031,292489.0875
101999,01005700,40.33000183,15.02,15,60789.314,15.021,15353.657,4679.804,Little Ball Bluff,4679.80399,60789.31191
102000,01005800,82.98000336,194.98,15,789069.152,194.979,39467.045,12029.579,Vanduse,12029.57877,789069.1276
102001,01006100,99.77999878,612.41,15,2478407.897,612.415,44516.568,13568.677,Flowage,13568.67703,2478407.894
102002,01006200,52.09999847,3182.59,15,12879783.07,3182.594,578464.721,176316.4,Big Sandy,176316.403,12879783.05
102003,01006500,92.66999817,230.97,15,934710.386,230.967,24593.694,7496.173,Cedar,7496.172992,934710.3963
102004,01006900,99.43000031,370.32,15,1498657.345,370.318,28763.084,8767.006,Portage,8767.005922,1498657.347
102005,01008700,66.19000244,276.05,15,1117145.274,276.047,35152.192,10714.41,Sugar,10714.40913,1117145.256
102006,01008900,30.26000023,129.39,15,523639.925,129.391,52327.315,15949.398,Long,15949.39808,523639.904
102007,01009600,38.88999939,232.41,15,940570.53,232.415,40454.27,12330.486,Dam,12330.48642,940570.5453
102008,01009900,50.97000122,370.28,15,1498514.736,370.283,87124.68,26555.655,Gun,26555.6556,1498514.778
102009,01010500,99.91999817,313.29,15,1267869.261,313.29,19462.644,5932.226,Fleming,5932.225778,1267869.252
102010,01011500,97.98999786,426.17,15,1724674.692,426.167,25176.103,7673.691,Section Ten,7673.691349,1724674.691
102011,01012300,71.02999878,389.81,15,1577559.208,389.815,58810.306,17925.417,Elm Island,17925.4169,1577559.205
102012,01012500,38.15000153,165.3,15,668968.079,165.302,52779.714,16087.289,Lone,16087.28929,668968.056
102013,01012900,62.36000061,254.08,15,1028241.548,254.078,44006.625,13413.246,Sissabagamah,13413.24572,1028241.529
102014,01013600,43.74000168,284.71,15,1152188.325,284.706,42374.357,12915.73,Waukenabo,12915.72995,1152188.318
102015,01013700,65.08999634,412.54,15,1669535.072,412.542,31549.1,9616.185,Round,9616.18501,1669535.069
102016,01014201,21.17000008,142.63,15,577205.224,142.627,77264.046,23550.128,Hill (North Basin),23550.12855,577205.2093
102017,01014202,84.19999695,113.71,15,460172.902,113.709,24222.717,7383.099,Hill (South Basin),7383.098707,460172.9078
102018,01014600,53.49000168,336.84,15,1363173.747,336.84,74018.033,22560.742,Ripple,22560.74104,1363173.736
102019,01014700,61.79000092,511.32,15,2069271.807,511.317,64214.935,19572.751,Esquagamah,19572.75141,2069271.821
102020,01015700,44.90000153,285.15,15,1153996.673,285.153,73393.681,22370.439,Big Pine,22370.43872,1153996.713
102021,01015900,42.47000122,850.57,15,3442210.8,850.57,168537.721,51370.4,Farm Island,51370.39899,3442210.784
102022,01017800,50.16999817,262.7,15,1063139.202,262.702,51623.803,15734.967,Spirit,15734.96663,1063139.2
102023,01018300,60.43000031,19.43,15,78629.201,19.429,7950.221,2423.232,Bass,2423.232268,78629.19735
102024,01018800,98.94999695,317.43,15,1284617.351,317.429,26489.699,8074.076,Blind,8074.076388,1284617.355
102025,01020100,46.93999863,42.87,15,173474.441,42.866,15844.197,4829.321,Holy Water,4829.320909,173474.4339
102026,01020400,42.50999832,311.65,15,1261240.65,311.653,44512.976,13567.582,Round,13567.58235,1261240.63
102027,01020600,100,441.5,15,1786727.745,441.5,22413.383,6831.613,Birch,6831.612782,1786727.745
102028,01020700,58.15999985,66.77,15,270204.976,66.768,23922.019,7291.446,Townline,7291.445765,270204.9885
102029,01020901,28.93000031,442.02,15,1788820.422,442.018,246300.817,75068.826,Cedar(Main Basin),75068.82521,1788820.456
102030,01020902,60.54999924,15.7,15,63526.121,15.697,10398.233,3169.388,Cedar(N.E. Arm),3169.38756,63526.13076
102031,01020903,35.84999847,71.74,15,290321.207,71.738,38964.448,11876.387,Cedar(West Bay),11876.387,290321.1777
102032,01021200,85.44999695,220.56,15,892612.959,220.565,29280.51,8924.717,Moulton,8924.716783,892612.9585
102033,02000300,98.90000153,313.85,15,1270152.262,313.855,20080.556,6120.566,Otter,6120.565954,1270152.237
102034,02000400,85.01000214,514.79,15,2083339.125,514.793,47292.008,14414.633,Peltier,14414.633,2083339.14
102035,02000500,100,486.02,15,1966886.469,486.018,32233.847,9824.896,George Watch,9824.896133,1966886.469
102036,02000600,60.88999939,288.64,15,1168107.183,288.639,34881.792,10631.992,Centerville,10631.99151,1168107.175
102037,02000700,100,203.53,15,823681,203.532,14222.826,4334.906,Marshan,4334.90586,823681
102038,02000800,100,371.22,15,1502294.439,371.217,28769.568,8768.982,Rice,8768.981726,1502294.439
102039,02000900,99.51999664,336.49,15,1361764.452,336.492,21930.278,6684.362,Reshanau,6684.36196,1361764.447
