permit_number,app_year,species_code,lake_parent_name,lake_id,county,fk_PAR_ID,fk_Treatment_ID,pesticide_trade_name,supplier,,applicator_company_name,start_date,end_date,treatment_size,average_depth,rate_low,rate_high,rate_units,amount_total,amount_units,water_temp_low,water_temp_high,wind_speed_low,wind_speed_high,wind_direction,air_temp,temp_nos,grant_prgm ,PAR_comments
2017-0742,2020,CLP,Diamond,27012500,Hennepin,958,581,Sonar A.S.,SePro Corp.,,PLM Lake and Land Management Corp.,4/13/2020,4/13/2020,405,4,0.003,0.003,gal/acre-ft,5,gal,43.4,43.4,0,0,NW,32,,Y,
2019-0880,2020,CLP,Cleary,70002200,Scott,1621,1297,Sonar A.S.,SePro Corp.,,PLM Lake and Land Management Corp.,4/14/2020,4/14/2020,145,5,,,ppb,2,gal,40,40,2,2,NW,27,,Y,rate missing and hard to calculate. is the rate .003 gal/acre-ft?
,2020,CLP,Benton,41004300,Lincoln,1373,1235,Sonar A.S.,SePro Corp.,,PLM Lake and Land Management Corp.,4/23/2020,4/23/2020,1034,9,0.003,0.003,gal/acre-ft,27.53,gal,52.3,52.3,7,7,ENE,62,,Y,Is the quantity and rate of pesticide correct? No permit number. 
2017-0384,2020,"EWM, CLP",Josephine,62005700,Ramsey,1205,2183,Sonar A.S.,SePro Corp.,,"Lake Management, Inc.",4/30/2020,4/30/2020,117,8.5,4,4,ppb,3.81,gal,,,4,4,SE,66,,Y,Whole-lake treatment. Cost includes bump treatments and concentration monitoring.
,2020,CLP,Josephine,62005700,Ramsey,1205,2183,Sonar A.S.,SePro Corp.,,"Lake Management, Inc.",4/30/2020,4/30/2020,117,,4,4,ppb,3.81,gal,,,4,4,SE,,,Y,Whole-lake treatment. Cost includes bump treatments and concentration monitoring.
2017-0522,2020,CLP,Hyland,27004800,Hennepin,1623,1299,Tribune,"Syngenta Crop Protection, LLC",,PLM Lake and Land Management Corp.,4/30/2020,4/30/2020,9,5,2,2,gal/acre,18,gal,59.5,59.5,3,3,ENE,60,,Y,1/2 chemicals listed on PAR. Other chem is Kammo
2018-0395,2020,CLP,Limestone,86016300,Wright,505,2701,Aquathol K,United Phosphorus Inc.,,Aquatic Solutions of Minnesota,5/4/2020,5/4/2020,2.5,4.5,1.5,1.5,ppm,10.7,gal,,,6,6,SE,,52,Y,PAR 2/2. Cost on record for PAR 1/2.
2017-0621,2020,CLP,Linwood,2002600,Anoka,506,2703,Dibrox,"Lake Restoration, Inc.",,Lake Restoration,5/4/2020,5/4/2020,27.4,5.8,1,1,gal/acre-ft,27.4,gal,55,55,3,6,E,45,,Y,PAR 2/3. Cost recorded on PAR 1/3.
2017-0621,2020,CLP,Linwood,2002600,Anoka,507,2704,Dibrox,"Lake Restoration, Inc.",,Lake Restoration,5/4/2020,5/4/2020,9.5,5.9,1,1,gal/acre-ft,9.5,gal,56,56,2,4,E,47,,Y,PAR 3/3. Cost recorded on PAR 1/3.
2018-0395,2020,CLP,Limestone,86016300,Wright,619,994,Aquathol K,United Phosphorus Inc.,,Aquatic Solutions of Minnesota,5/4/2020,5/4/2020,5.4,5,1,1,ppm,17.23,gal,,,5,5,SE,,52,Y,PAR 1/2. Cost on record for PAR 1/2.
