orig_name,active_ing,additional_info,moa
flumioxazin,Flumioxazin,Technical Grade / Unspecified,Contact
other,Other,Unknown / Unspecified,Unknown
aquathol_k,Endothall,Dipotassium Salt (Liquid),Contact
glyphosate,Glyphosate,Isopropylamine Salt,Systemic
alligare,"2,4-D",Dimethylamine Salt (Amine),Systemic
diquat,Diquat Dibromide,Dibromide Salt,Contact
hydrothol_liquid,Endothall,Monoamine Salt (Liquid),Contact
aquathol_super_k,Endothall,Dipotassium Salt (Granular),Contact
fluridone,Fluridone,Technical Grade / Unspecified,Systemic
triclopyr_44_percent,Triclopyr,Triethylamine Salt (44%),Systemic
triclopyr_14_percent,Triclopyr,Triethylamine Salt (14%),Systemic
aquacide,"2,4-D",Salt Pellet,Systemic
galleon,Penoxsulam,Technical Grade / Unspecified,Systemic
dma4_ivm,"2,4-D",Dimethylamine Salt,Systemic
navigate,"2,4-D",Butoxyethyl Ester (Granular),Systemic
sonarone,Fluridone,Pellet Formulation,Systemic
sculpin,"2,4-D",Dimethylamine Salt (Granular),Systemic
renovate,Triclopyr,Triethylamine Salt,Systemic
aquastrike,Endothall + Diquat,Salt Blend Premix (with Diquat Dibromide),Contact
copper_ethnolamine,Copper Complex,Ethanolamine Chelated,Contact
cutrine,Copper Complex,Ethanolamine Chelated,Contact
imazapyr,Imazapyr,Isopropylamine Salt,Systemic
imazamox,Imazamox,Ammonium Salt,Systemic
hydrothol_granular,Endothall,Monoamine Salt (Granular),Contact
copper_sulfate,Copper Sulfate,Pentahydrate Crystals,Contact
komeen_liquid,Copper Complex,Ethylenediamine Chelated,Contact
komeen_crystal,Copper Complex,Ethylenediamine Chelated,Contact
copper_triethanola,Copper Complex,Triethanolamine Chelated,Contact
harpoon_granular,Copper Complex,Ethanolamine Chelated,Contact
Aquathol K,Endothall,Dipotassium Salt (Liquid),Contact
FlumigardSC,Flumioxazin,Suspension Concentrate,Contact
Tribune,Diquat Dibromide,Dibromide Salt,Contact
Sonar A.S.,Fluridone,Aqueous Suspension,Systemic
"2, 4-D Amine","2,4-D",Dimethylamine Salt,Systemic
ProcellaCOR EC,Florpyrauxifen-benzyl,Emulsifiable Concentrate,Systemic
ProcellaCOR,Florpyrauxifen-benzyl,Technical Grade / Unspecified,Systemic
Dibrox,Diquat Dibromide,Dibromide Salt,Contact
Platoon,"2,4-D",Dimethylamine Salt,Systemic
Diquat Herbicide,Diquat Dibromide,Dibromide Salt,Contact
Kammo Plus,Limonene,Surfactant Blend,Adjuvant (None)
Weedar 64,"2,4-D",Dimethylamine Salt,Systemic
Triclopyr 3,Triclopyr,Triethylamine Salt,Systemic
Flumioxazin 51WDG Prime,Flumioxazin,Water Dispersible Granule,Contact
Diquat SPC 2 L,Diquat Dibromide,Dibromide Salt (Liquid),Contact
Cygnet Plus,Limonene,Surfactant Blend,Adjuvant (None)
Cide-Kick 2.5 Gal,Limonene,D-Limonene,Adjuvant (None)
Aquathol Super K,Endothall,Dipotassium Salt (Granular),Contact
Captain,Copper Complex,Ethanolamine Chelated,Contact
Galleon SC,Penoxsulam,Suspension Concentrate,Systemic
Semera,Flumioxazin,Water Dispersible Granule,Contact
Flumigard,Flumioxazin,Technical Grade / Unspecified,Contact
Komeen Descend,Copper Complex,Ethylenediamine Chelated,Contact
