"Permit_number","County_name","Lake_parent_name","k_Lake_ID","App_year","species_code","Pesticide_trade_name","start_date","end_date","treatment_size","LAKE_NAME","LakeAreaAcres","15ft_LittoralZone_Acres","ObservedLittoralZone_Acres","Percentage_15ft_LittoralZone","Percentage_ObservedLittoralZone","Depth_ObservedLittoralZone","TreatmentSize_PercentofLake","TreatmentSize_PercentofLittoral"
"2017-0038","Kanabec","Knife",33002800,2020,"CLP","Aquathol K",2020-05-27,2020-05-27,31.2,"Knife",1259.215,1259.21,177.06,100,14.06,5,2.47773414389123,17.6211453744493
"2017-0038","Kanabec","Knife",33002800,2021,"CLP","Aquathol K",2021-05-05,2021-05-05,24.28,"Knife",1259.215,1259.21,177.06,100,14.06,5,1.9281854171051,13.7128656952446
"2017-0040","Stearns","Cedar Island",73013300,2025,"CLP","FlumigardSC",2025-05-06,2025-05-06,14,"Cedar Island",985.77,755,76.59,76.59,755,15,1.42020958235694,18.2791487139313
"2017-0045","Stearns","Horseshoe",73015700,2020,"CLP","Aquathol K",2020-05-21,2020-05-21,5.4,"Horseshoe",341.053,341.05,341.05,54.37,53.62,15,1.58333162294423,1.58334555050579
"2017-0047","Stearns","Long",73013900,2020,"CLP","Aquathol K",2020-05-21,2020-05-21,2,"Long",331.225,331.23,331.23,67.2,67.2,15,0.603819156162729,0.603810041360988
"2017-0109","Le Sueur","Sakatah",40000200,2020,"CLP","Aquathol K",2020-05-14,2020-05-14,14.6,"Upper Sakatah",899.567,899.57,417.21,99.79,46.28,6,1.62300306703114,3.49943673449821
"2017-0109","Le Sueur","Upper Sakatah",40000200,2021,"CLP","Aquathol K",2021-05-12,2021-05-12,21.2,"Upper Sakatah",899.567,899.57,417.21,99.79,46.28,6,2.35668938500412,5.08137388844946
"2017-0109","Le Sueur","Upper Sakatah",40000200,2022,"CLP","Aquathol K",2022-05-20,2022-05-20,16.7,"Upper Sakatah",899.567,899.57,417.21,99.79,46.28,6,1.8564487136589,4.00278037439179
"2017-0120","Stearns","Knaus",73008600,2020,"CLP","Aquathol K",2020-05-21,2020-05-21,4,"Knaus",209.7,209.7,209.7,96.82,96.82,15,1.90748688602766,1.90748688602766
"2017-0121","Stearns","Bolfing",73008800,2020,"CLP","Aquathol K",2020-05-21,2020-05-21,1,"Bolfing",67.37,67.37,67.37,62.99,62.99,15,1.48434021077631,1.48434021077631
"2017-0122","Stearns","Krays",73008700,2020,"CLP","Aquathol K",2020-05-21,2020-05-21,1.8,"Krays",86.938,86.94,86.94,90.48,90.48,15,2.07044100393384,2.0703933747412
"2017-0123","Stearns","Great Northern",73008300,2020,"CLP","Aquathol K",2020-05-21,2020-05-21,1.7,"Great Northern",185.346,185.35,185.35,92.21,92.21,15,0.917203500480183,0.917183706501214
"2017-0125","Stearns","Zumwalde",73008900,2020,"CLP","Aquathol K",2020-05-21,2020-05-21,1.7,"Zumwalde",118.616,118.62,118.62,98.16,98.16,15,1.43319619612868,1.43314786713876
"2017-0365","Meeker","Long",47017700,2020,"CLP","Aquathol K",2020-05-06,2020-05-06,19,"Long",787.031,787.03,787.03,100,100,15,2.41413616490329,2.41413923230372
"2017-0365","Meeker","Long",47017700,2021,"CLP","Aquathol K",2021-05-12,2021-05-12,18.5,"Long",787.031,787.03,787.03,100,100,15,2.35060626582689,2.35060925250626
"2017-0365","Meeker","Long",47017700,2021,"CLP","Tribune",2021-05-12,2021-05-12,7,"Long",787.031,787.03,787.03,100,100,15,0.889418587069633,0.88941971716453
"2017-0365","Meeker","Long",47017700,2024,"CLP","Tribune",2024-05-08,2025-04-26,97.6,"Long",787.031,787.03,787.03,100,100,15,12.4010362997137,12.4010520564654
"2017-0377","Otter Tail","Pelican",56078600,2022,"CLP","Aquathol K",2022-06-02,2022-06-02,5.8,"Pelican",1608.247,1608.25,2116.26,40.58,53.4,25,0.36064112042491,0.274068403693308
"2017-0378","Otter Tail","Little Pelican",56076100,2022,"CLP","Aquathol K",2022-06-03,2022-06-03,8.4,"Little Pelican",366.1,256,69.93,69.93,256,15,2.29445506692161,12.012012012012
"2017-0384","Ramsey","Josephine",62005700,2020,"EWM, CLP","Sonar A.S.",2020-04-30,2020-07-24,351,"Josephine",78.88,78.88,75.84,69.36,66.68,14,444.979716024341,462.816455696202
"2017-0389","Hennepin","Sarah",27019100,2021,"CLP","Aquathol K",2021-05-16,2021-05-16,66.2,"Sarah",557.23,373,66.94,66.94,373,15,11.8801930980026,98.8945324170899
"2017-0389","Hennepin","Sarah",27019100,2021,"CLP","Tribune",2021-05-19,2021-05-23,29.05,"Sarah",557.23,373,66.94,66.94,373,15,5.2132871525223,43.3970720047804
"2017-0389","Hennepin","Sarah",27019100,2023,"CLP","Tribune",2023-05-23,2023-05-23,4.4,"Sarah",557.23,373,66.94,66.94,373,15,0.789620085063618,6.57305049297879
"2017-0389","Hennepin","Sarah",27019100,2025,"CLP","FlumigardSC",2025-05-08,2025-05-08,26.7,"Sarah",557.23,373,66.94,66.94,373,15,4.79155824345423,39.8864654914849
"2017-0389","Hennepin","Sarah",27019101,2022,"CLP","Aquathol K",2022-05-26,2022-05-26,67.51,"West Sarah",242.6,242.6,242.6,67.83,67.83,15,27.8276999175598,27.8276999175598
"2017-039","Stearns","Schneider",73008200,2020,"CLP","Aquathol K",2020-05-21,2020-05-21,1.7,"Schneider",25.135,25.14,25.14,46.2,46.2,15,6.76347722299582,6.76213206046142
"2017-0407","Carver","Lucy",10000700,2022,"CLP","Tribune",2022-05-17,2022-05-17,7.7,"Lucy",68.273,68.27,57.89,75.48,64,10,11.2782505529272,13.3010882708585
"2017-0417","Scott","Lower Prior",70002600,2020,"EWM","Tribune",2020-06-03,2020-06-03,5,"Lower Prior",589.705,589.7,589.7,60.03,60.03,15,0.847881567902595,0.847888756995082
"2017-0417","Scott","Lower Prior",70002600,2022,"EWM","Tribune",2022-06-10,2022-06-10,5,"Lower Prior",589.705,589.7,589.7,60.03,60.03,15,0.847881567902595,0.847888756995082
"2017-0422","Sherburne","Big",71008200,2020,"EWM","2,4-D Amine",2020-07-17,2020-07-17,15,"Big",116.407,116.41,145.03,45.67,56.9,20,12.8858230175161,10.3426877197821
"2017-0434","Pine","Sturgeon",58006700,2020,"EWM","2,4-D Amine",2020-08-18,2020-08-18,27.63,"Sturgeon",727.335,727.33,727.33,42.64,42.64,15,3.79879972777331,3.79882584246491
"2017-0434","Pine","Sturgeon",58006700,2020,"EWM","ProcellaCOR EC",2020-08-18,2020-08-18,8.43,"Sturgeon",727.335,727.33,727.33,42.64,42.64,15,1.15902575841944,1.15903372609407
"2017-0434","Pine","Sturgeon",58006700,2022,"EWM","ProcellaCOR EC",2022-07-29,2022-07-29,42.69,"Sturgeon",727.335,727.33,727.33,42.64,42.64,15,5.86937243498525,5.86941278374328
"2017-0434","Pine","Sturgeon",58006700,2025,"EWM","ProcellaCOR EC",2025-08-20,2025-08-20,5.92,"Sturgeon",727.335,727.33,727.33,42.64,42.64,15,0.813930307217444,0.813935902547674
"2017-0437","Pine","Sand",58008100,2020,"EWM","ProcellaCOR EC",2020-08-18,2020-08-18,10,"Sand",234.851,234.85,204.47,45.49,39.61,12,4.25801891412002,4.89069301119969
"2017-0437","Pine","Sand",58008100,2022,"EWM","ProcellaCOR EC",2022-07-29,2022-07-29,13.95,"Sand",234.851,234.85,204.47,45.49,39.61,12,5.93993638519742,6.82251675062356
"2017-0442","Sherburne","Big",71008200,2020,"EWM","2,4-D Amine",2020-07-17,2020-07-17,1.65,"Big",116.407,116.41,145.03,45.67,56.9,20,1.41744053192677,1.13769564917603
"2017-0442","Sherburne","Big",71008200,2023,"EWM","ProcellaCOR EC",2023-07-21,2023-07-21,4.5,"Big",116.407,116.41,145.03,45.67,56.9,20,3.86574690525484,3.10280631593463
"2017-0445","Sherburne","Big",71008200,2020,"EWM","2,4-D Amine",2020-07-17,2020-07-17,6.4,"Big",116.407,116.41,145.03,45.67,56.9,20,5.49795115414022,4.4128800937737
"2017-0445","Sherburne","Mitchell",71008100,2020,"EWM","2,4-D Amine",2020-07-17,2020-07-17,6.9,"Mitchell",90.375,90.38,85.96,56.13,53.38,14,7.63485477178423,8.0269892973476
"2017-0447","Wright","Ann",86019000,2022,"CLP","Aquathol K",2024-05-23,2024-05-23,11.9,"Ann",282.162,282.16,111.89,75.16,29.81,7,4.217435374005,10.6354455268567
"2017-0447","Wright","Ann",86019000,2024,"CLP","Aquathol K",2024-05-14,2024-05-14,11.9,"Ann",282.162,282.16,111.89,75.16,29.81,7,4.217435374005,10.6354455268567
"2017-0511","Le Sueur","East Jefferson",40009201,2023,"CLP","Aquathol K",2023-05-09,2023-05-09,6.58,"East Jefferson",331.516,331.52,275.17,51.11,42.43,12,1.98482124543008,2.39124904604426
"2017-0512","Le Sueur","Jefferson",40009204,2021,"CLP","Aquathol K",2021-05-19,2021-05-19,29.9,"Middle Jefferson",654.932,654.93,216.66,98.6,32.62,4,4.56535945716502,13.8004246284501
"2017-0512","Le Sueur","Jefferson",40009204,2022,"CLP","Aquathol K",2022-05-18,2022-05-18,27.6,"Middle Jefferson",654.932,654.93,216.66,98.6,32.62,4,4.21417796046002,12.7388535031847
"2017-0512","Le Sueur","Jefferson",40009204,2024,"CLP","Aquathol K",2024-05-03,2024-05-03,18.69,"Middle Jefferson",654.932,654.93,216.66,98.6,32.62,4,2.85373137974629,8.62641927443921
"2017-0513","Le Sueur","West Jefferson",40009202,2021,"CLP","Aquathol K",2021-05-19,2021-05-19,7.72,"West Jefferson",348.682,348.68,263.78,79.46,60.11,10,2.2140517721018,2.92668132534688
"2017-0522","Hennepin","Hyland",27004800,2020,"CLP","Tribune",2020-04-30,2020-04-30,9,"Hyland",83.913,83.91,46.52,99.5,55.16,9,10.7253941582353,19.3465176268272
"2017-0522","Hennepin","Hyland",27004800,2021,"CLP","Sonar A.S.",2021-04-05,2021-04-28,168,"Hyland",83.913,83.91,46.52,99.5,55.16,9,200.207357620393,361.134995700774
"2017-0522","Hennepin","Hyland",27004800,2024,"CLP","Sonar A.S.",2024-04-02,2024-04-29,74,"Hyland",83.913,83.91,46.52,99.5,55.16,9,88.1865741899348,159.071367153912
"2017-0525","Washington","Demontreville",82010100,2023,"EWM","Sonar A.S.",2023-05-02,2023-05-02,157.06,"DeMontreville",142.617,142.62,135.07,90.81,86,13,110.127123694931,116.280447175539
"2017-0526","Washington","Olson",82010300,2021,"EWM","Tribune",2021-06-02,2021-06-02,9.2,"Olson",87.384,87.38,87.38,100,100,17,10.5282431566419,10.5287251087205
"2017-0533","Becker","Detroit",3038100,2021,"CLP","Aquathol K",2021-05-26,2021-05-26,8.2,"Detroit",1868.577,1868.58,2065.12,60.92,67.33,18,0.438836612031508,0.397071356628186
"2017-0534","Becker","Sallie",3035900,2021,"CLP","Aquathol K",2021-05-26,2021-05-26,4.7,"Sallie",576.81,576.81,737.81,45.32,57.96,21,0.814826372635703,0.63702037109825
"2017-0534","Becker","Sallie",3035900,2021,"CLP","Tribune",2021-05-26,2021-05-26,7.6,"Sallie",576.81,576.81,737.81,45.32,57.96,21,1.31759158128327,1.03007549369079
"2017-0534","Becker","Sallie",3035900,2022,"CLP","Tribune",2022-06-03,2022-06-03,7.6,"Sallie",576.81,576.81,737.81,45.32,57.96,21,1.31759158128327,1.03007549369079
"2017-0562","Scott","Cedar",70009100,2022,"CLP","Tribune",2022-06-07,2022-06-07,132.6,"Cedar",792.503,792.5,792.5,100,100,12.5,16.7317978607021,16.7318611987382
"2017-0562","Scott","Cedar",70009100,2023,"CLP","Sonar A.S.",2023-04-14,2023-04-14,793,"Cedar",792.503,792.5,792.5,100,100,12.5,100.062712696356,100.06309148265
"2017-0566","Scott","McMahon",70005000,2021,"CLP","Tribune",2021-05-17,2021-05-17,16.5,"McMahon",162.258,162.26,157.93,99.43,96.78,13,10.168990126835,10.4476666877731
"2017-0573","Hennepin","Rebecca",27019200,2021,"CLP","Tribune",2021-05-07,2021-05-07,35,"Rebecca",122.716,122.72,40.86,46.61,15.52,4.5,28.5211382378826,85.6583455702398
"2017-0582","Scott","O'Dowd",70009500,2021,"CLP","Tribune",2021-05-24,2021-05-24,17.64,"O'Dowd",273.579,273.58,161.28,87.11,51.35,6,6.44786332284276,10.9375
"2017-0600","Wright","Fish",86018300,2021,"EWM","ProcellaCOR",2021-07-16,2021-07-16,5.3,"Fish",54.156,54.16,33.88,57.25,35.81,6,9.78654258069281,15.6434474616293
"2017-0600","Wright","Fish",86018300,2022,"EWM","ProcellaCOR EC",2022-09-28,2022-09-28,3.3,"Fish",54.156,54.16,33.88,57.25,35.81,6,6.09350764458232,9.74025974025974
"2017-0600","Wright","Fish",86018300,2024,"CLP","ProcellaCOR EC",2024-07-12,2024-07-12,7.9,"Fish",54.156,54.16,33.88,57.25,35.81,6,14.5874879976365,23.3175914994097
"2017-0620","Kanabec","Quamba",33001500,2020,"CLP","Aquathol K",2020-05-19,2020-05-19,27.8,"Quamba",226.374,226.37,80.22,100,35.44,5,12.2805622553827,34.6546995761655
"2017-0621","Anoka","Linwood",2002600,2020,"CLP","Dibrox",2020-05-04,2020-05-04,40.9,"Linwood",484.91,484.91,179.37,85.24,31.53,6,8.43455486585139,22.8020293248592
"2017-0621","Anoka","Linwood",2002600,2021,"CLP","Dibrox",2021-05-05,2021-05-05,42.3,"Linwood",484.91,484.91,179.37,85.24,31.53,6,8.72326823534264,23.5825388861014
"2017-0645","Scott","Thole/Schneider",70012001,2021,"CLP","Tribune",2021-05-24,2021-05-24,7.42,"Thole",118.52,118.52,88.63,99.76,74.61,9,6.26054674316571,8.37188310955658
"2017-0653","Ramsey","Long",62006700,2020,"EWM","Dibrox",2020-07-20,2020-07-20,4.91,"Long",117.286,117.29,103.22,61.62,54.23,12,4.18634790171035,4.75683007169153
"2017-0653","Ramsey","Long",62006700,2025,"EWM","ProcellaCOR EC",2025-07-02,2025-07-02,8.79,"Long",117.286,117.29,103.22,61.62,54.23,12,7.49450062241018,8.51579151327262
"2017-0663","Wright","Brooks",86026400,2022,"CLP","Aquathol K",2022-05-22,2022-05-22,5.12,"Brooks",58.31,58.31,58.31,60.86,60.86,15,8.78065511919053,8.78065511919053
"2017-0663","Wright","Brooks",86026400,2023,"CLP","Aquathol K",2022-05-15,2023-05-15,5.12,"Brooks",58.31,58.31,58.31,60.86,60.86,15,8.78065511919053,8.78065511919053
"2017-0663","Wright","Brooks",86026400,2024,"CLP","Aquathol K",2024-04-24,2024-04-24,7.12,"Brooks",58.31,58.31,58.31,60.86,60.86,15,12.2105985251243,12.2105985251243
"2017-0666","Washington","Clear",82016300,2024,"EWM","Sonar A.S.",2024-05-30,2024-09-10,1715.6,"Clear",270.307,270.31,145.89,63.02,34.01,5,634.68574620709,1175.95448625677
"2017-0667","Washington","Clear",82016300,2020,"CLP","Aquathol K",2020-05-12,2020-05-12,5.31,"Clear",270.307,270.31,145.89,63.02,34.01,5,1.96443303355074,3.63972856261567
"2017-0671","Sherburne","Rush",71014700,2020,"CLP","Aquathol K",2020-05-15,2020-05-15,24,"Rush",160.818,160.82,103.31,100,64.24,7,14.9237025706078,23.2310521730713
"2017-0671","Sherburne","Rush",71014700,2021,"CLP","Aquathol K",2021-05-05,2021-05-05,23.96,"Rush",160.818,160.82,103.31,100,64.24,7,14.8988297329901,23.1923337527829
