"Permit_number","County_name","Lake_parent_name","k_Lake_ID","App_year","species_code","Pesticide_trade_name","start_date","end_date","treatment_size","LAKE_NAME","LakeAreaAcres","15ft_LittoralZone_Acres","ObservedLittoralZone_Acres","Percentage_15ft_LittoralZone","Percentage_ObservedLittoralZone","Depth_ObservedLittoralZone","TreatmentSize_PercentofLake","TreatmentSize_PercentofLittoral","iceoff_est"
"2017-0038","Kanabec","Knife",33002800,2020,"CLP","Aquathol K",2020-05-27,2020-05-27,31.2,"Knife",1259.215,1259.21,177.06,100,14.06,5,2.47773414389123,17.6211453744493,103.537521574677
"2017-0040","Stearns","Cedar Island",73013300,2025,"CLP","FlumigardSC",2025-05-06,2025-05-06,14,"Cedar Island",985.77,755,76.59,76.59,755,15,1.42020958235694,18.2791487139313,NA
"2017-0389","Hennepin","Sarah",27019100,2021,"CLP","Aquathol K",2021-05-16,2021-05-16,66.2,"Sarah",557.23,373,66.94,66.94,373,15,11.8801930980026,98.8945324170899,85.5081767579278
"2017-0389","Hennepin","Sarah",27019100,2021,"CLP","Tribune",2021-05-19,2021-05-23,29.05,"Sarah",557.23,373,66.94,66.94,373,15,5.2132871525223,43.3970720047804,85.5081767579278
"2017-0389","Hennepin","Sarah",27019100,2025,"CLP","FlumigardSC",2025-05-08,2025-05-08,26.7,"Sarah",557.23,373,66.94,66.94,373,15,4.79155824345423,39.8864654914849,90.3396319803376
"2017-0389","Hennepin","Sarah",27019100,2025,"CLP","FlumigardSC",2025-05-08,2025-05-08,26.7,"Sarah",557.23,373,66.94,66.94,373,15,4.79155824345423,39.8864654914849,90.3396319803376
"2017-0389","Hennepin","Sarah",27019101,2022,"CLP","Aquathol K",2022-05-26,2022-05-26,67.51,"West Sarah",242.6,242.6,242.6,67.83,67.83,15,27.8276999175598,27.8276999175598,109.302964917579
"2017-0522","Hennepin","Hyland",27004800,2020,"CLP","Tribune",2020-04-30,2020-04-30,9,"Hyland",83.913,83.91,46.52,99.5,55.16,9,10.7253941582353,19.3465176268272,NA
"2017-0522","Hennepin","Hyland",27004800,2021,"CLP","Sonar A.S.",2021-04-05,2021-04-28,168,"Hyland",83.913,83.91,46.52,99.5,55.16,9,200.207357620393,361.134995700774,NA
"2017-0522","Hennepin","Hyland",27004800,2024,"CLP","Sonar A.S.",2024-04-02,2024-04-29,74,"Hyland",83.913,83.91,46.52,99.5,55.16,9,88.1865741899348,159.071367153912,NA
