DOW,LAKE_NAME,LakeAreaAcres,Percentage_15ft_LittoralZone,15ft_LittoralZone_Acres,ObservedLittoralZone_Acres,Percentage_ObservedLittoralZone,Depth_ObservedLittoralZone
01000100,Pine,125.921,33.33,125.92,97.65,25.85,11.3
01001500,Shumway,43.957,59.25,43.96,43.96,59.25,15
01001900,Wolf,165.73,95.56,165.73,165.73,95.56,15
01002300,Round,362.332,65.46,362.33,536.10,96.86,23
01002700,Sheriff,44.87,50.77,44.87,44.87,50.77,15
01003300,Minnewawa,2152.386,91.39,2152.39,2068.31,87.82,14
01003400,Horseshoe,240.058,100.00,240.06,163.29,68.02,7
01004500,Blackface,191.277,99.71,191.28,191.28,99.71,15
01004600,Ball Bluff,51.155,30.39,51.16,72.89,43.30,23
01005500,Boot,39.464,49.62,39.46,31.22,39.26,10
01005600,Cutaway,72.274,64.11,72.27,72.27,64.11,15
01005700,Little Ball Bluff,15.021,40.33,15.02,15.02,40.33,15
01005800,Vanduse,194.979,82.98,194.98,204.69,87.11,16
01006100,Flowage,612.415,99.78,612.41,612.41,99.78,15
01006200,Big Sandy,3182.594,52.10,3182.59,1851.00,30.30,8
01006500,Cedar,230.967,92.67,230.97,138.45,55.55,9.7
01006900,Portage,370.318,99.43,370.32,370.32,99.43,15
01008700,Sugar,276.047,66.19,276.05,276.05,66.19,15
01008900,Long,129.391,30.26,129.39,134.97,31.56,16
01009600,Dam,232.415,38.89,232.41,222.98,37.31,14
01009900,Gun,370.283,50.97,370.28,370.28,50.97,15
01010500,Fleming,313.29,99.92,313.29,105.01,33.49,7
01011500,Section Ten,426.167,97.99,426.17,426.17,97.99,15
01012300,Elm Island,389.815,71.03,389.81,389.81,71.03,15
01012500,Lone,165.302,38.15,165.30,165.30,38.15,15
01012900,Sissabagamah,254.078,62.36,254.08,254.08,62.36,15
01013600,Waukenabo,284.706,43.74,284.71,220.46,33.87,12
01013700,Round,412.542,65.09,412.54,403.81,63.71,13
01014201,Hill (North Basin),142.627,21.17,142.63,150.57,22.35,15.8
01014202,Hill (South Basin),113.709,84.20,113.71,121.20,89.74,15.8
01014600,Ripple,336.84,53.49,336.84,336.84,53.49,15
01014700,Esquagamah,511.317,61.79,511.32,511.32,61.79,15
01015700,Big Pine,285.153,44.90,285.15,347.18,54.67,21
01015900,Farm Island,850.57,42.47,850.57,1055.05,52.68,20
01017800,Spirit,262.702,50.17,262.70,308.16,58.86,18
01018300,Bass,19.429,60.43,19.43,19.43,60.43,15
01018800,Blind,317.429,98.95,317.43,317.43,98.95,15
01020100,Holy Water,42.866,46.94,42.87,42.87,46.94,15
01020400,Round,311.653,42.51,311.65,330.35,45.06,19
01020600,Birch,441.5,100.00,441.50,441.50,100.00,15
01020700,Townline,66.768,58.16,66.77,66.77,58.16,15
01020900,Cedar,1725.8,23.47,405.00,23.47,405.00,15
01020901,Cedar(Main Basin),442.018,28.93,442.02,546.75,35.78,18
01020902,Cedar(N.E. Arm),15.697,60.55,15.70,18.00,69.45,18
01020903,Cedar(West Bay),71.738,35.85,71.74,93.94,46.94,18
01021200,Moulton,220.565,85.45,220.56,77.20,29.91,6
02000300,Otter,313.855,98.90,313.85,308.44,97.20,11.5
02000400,Peltier,514.793,85.01,514.79,373.01,61.60,9.9
02000500,George Watch,486.018,100.00,486.02,486.02,100.00,15
02000600,Centerville,288.639,60.89,288.64,157.56,33.24,8
02000700,Marshan,203.532,100.00,203.53,203.53,100.00,15
02000800,Rice,371.217,100.00,371.22,371.22,100.00,15
02000900,Reshanau,336.492,99.52,336.49,336.49,99.52,15
02001300,Baldwin,181.565,96.12,181.56,181.56,96.12,15
02001500,Rondeau,248.263,85.26,248.26,248.26,85.26,15
02001600,Howard,455.584,100.00,455.58,455.58,100.00,15
02002200,Island,72.298,99.46,72.30,46.97,64.62,5
02002600,Linwood,484.91,85.24,484.91,179.37,31.53,6
02002800,Boot,90.321,98.84,90.32,90.32,98.84,15
02003400,Martin,214.281,84.82,214.28,60.62,24.00,3
02003500,Fawn,47.867,79.37,47.87,46.62,77.30,14
02004200,Coon,1331.965,89.92,1331.96,1283.59,86.66,12
02004500,Golden,51.275,90.33,51.28,13.33,23.48,3
02005200,Netta,111.092,93.10,111.09,111.09,93.10,15
02005300,Ham,190.45,89.36,190.45,176.27,82.70,13.5
02005900,Deer,184.547,100.00,184.55,184.55,100.00,15
02006500,Fish,342.471,100.00,342.47,342.47,100.00,12
02007000,Coopers,50.223,100.00,50.22,50.22,100.00,15
02007100,Spring,30.709,95.88,30.71,30.71,95.88,15
02007200,Laddie,66.126,100.00,66.13,66.13,100.00,15
02007500,Moore,93.322,96.74,93.32,89.89,93.18,10
02007501,East Moore,25.511,92.43,25.51,22.07,79.98,10
02008400,Crooked,84.017,73.10,84.02,73.19,63.68,12
02009100,George,383.264,78.66,383.26,383.26,78.66,15
02010600,Norris,46.215,94.17,46.22,46.22,94.17,15
02012200,Burns,92.675,97.50,92.67,71.97,75.72,10
02013300,East Twin,68.036,65.64,68.04,69.18,66.74,16
02076400,Club West,35.968,98.72,35.97,35.97,98.72,15
03000500,Shipman,26.505,43.53,26.51,26.51,43.53,15
03000600,Little,12.391,73.77,12.39,12.39,73.77,15
03000700,Blueberry,46.166,52.66,46.17,46.17,52.66,15
03001000,Straight,211.426,44.85,211.43,211.43,44.85,15
03001700,Two Inlets,197.351,33.92,197.35,197.35,33.92,15
03002900,Hungry Man,140.228,97.62,140.23,141.64,98.60,16
03003000,Boot,98.827,25.66,98.83,98.83,25.66,15
03004400,Dinner,25.903,43.75,25.90,25.90,43.75,15
03008200,Wahbegon,114.178,100.00,114.18,114.18,100.00,15
03008500,Bad Medicine,210.593,28.24,210.59,122.20,16.39,6
03008800,Bass,128.504,65.34,128.50,128.50,65.34,15
03009200,Basswood,112.555,99.47,112.56,112.56,99.47,15
03009600,Big Basswood,592.436,100.00,592.44,592.44,100.00,15
03010100,Wolf,1459.808,98.79,1459.81,1255.20,84.94,8
03010200,Shell,3084.442,98.00,3084.44,3060.92,97.26,14
