"Permit_number","County_name","Lake_parent_name","k_Lake_ID","App_year","species_code","Pesticide_trade_name","start_date","end_date","treatment_size"
"2017-0038","Kanabec","Knife",33002800,2020,"CLP","Aquathol K",2020-05-27,2020-05-27,31.2
"2017-0038","Kanabec","Knife",33002800,2021,"CLP","Aquathol K",2021-05-05,2021-05-05,24.28
"2017-0040","Stearns","Cedar Island",73013300,2025,"CLP","FlumigardSC",2025-05-06,2025-05-06,14
"2017-0045","Stearns","Horseshoe",73015700,2020,"CLP","Aquathol K",2020-05-21,2020-05-21,5.4
"2017-0047","Stearns","Long",73013900,2020,"CLP","Aquathol K",2020-05-21,2020-05-21,2
"2017-0109","Le Sueur","Sakatah",40000200,2020,"CLP","Aquathol K",2020-05-14,2020-05-14,14.6
"2017-0109","Le Sueur","Upper Sakatah",40000200,2021,"CLP","Aquathol K",2021-05-12,2021-05-12,21.2
"2017-0109","Le Sueur","Upper Sakatah",40000200,2022,"CLP","Aquathol K",2022-05-20,2022-05-20,16.7
"2017-0120","Stearns","Knaus",73008600,2020,"CLP","Aquathol K",2020-05-21,2020-05-21,4
"2017-0121","Stearns","Bolfing",73008800,2020,"CLP","Aquathol K",2020-05-21,2020-05-21,1
"2017-0122","Stearns","Krays",73008700,2020,"CLP","Aquathol K",2020-05-21,2020-05-21,1.8
"2017-0123","Stearns","Great Northern",73008300,2020,"CLP","Aquathol K",2020-05-21,2020-05-21,1.7
"2017-0125","Stearns","Zumwalde",73008900,2020,"CLP","Aquathol K",2020-05-21,2020-05-21,1.7
"2017-0365","Meeker","Long",47017700,2020,"CLP","Aquathol K",2020-05-06,2020-05-06,19
"2017-0365","Meeker","Long",47017700,2021,"CLP","Aquathol K",2021-05-12,2021-05-12,18.5
"2017-0365","Meeker","Long",47017700,2021,"CLP","Tribune",2021-05-12,2021-05-12,7
"2017-0365","Meeker","Long",47017700,2024,"CLP","Tribune",2024-05-08,2025-04-26,97.6
"2017-0377","Otter Tail","Pelican",56078600,2022,"CLP","Aquathol K",2022-06-02,2022-06-02,5.8
"2017-0378","Otter Tail","Little Pelican",56076100,2022,"CLP","Aquathol K",2022-06-03,2022-06-03,8.4
"2017-0384","Ramsey","Josephine",62005700,2020,"EWM, CLP","Sonar A.S.",2020-04-30,2020-07-24,351
"2017-0389","Hennepin","Sarah",27019100,2021,"CLP","Aquathol K",2021-05-16,2021-05-16,66.2
"2017-0389","Hennepin","Sarah",27019100,2021,"CLP","Tribune",2021-05-19,2021-05-23,29.05
"2017-0389","Hennepin","Sarah",27019100,2023,"CLP","Tribune",2023-05-23,2023-05-23,4.4
"2017-0389","Hennepin","Sarah",27019100,2025,"CLP","FlumigardSC",2025-05-08,2025-05-08,26.7
"2017-0389","Hennepin","Sarah",27019101,2022,"CLP","Aquathol K",2022-05-26,2022-05-26,67.51
"2017-039","Stearns","Schneider",73008200,2020,"CLP","Aquathol K",2020-05-21,2020-05-21,1.7
"2017-0407","Carver","Lucy",10000700,2022,"CLP","Tribune",2022-05-17,2022-05-17,7.7
"2017-0417","Scott","Lower Prior",70002600,2020,"EWM","Tribune",2020-06-03,2020-06-03,5
"2017-0417","Scott","Lower Prior",70002600,2022,"EWM","Tribune",2022-06-10,2022-06-10,5
"2017-0422","Sherburne","Big",71008200,2020,"EWM","2,4-D Amine",2020-07-17,2020-07-17,15
"2017-0434","Pine","Sturgeon",58006700,2020,"EWM","2,4-D Amine",2020-08-18,2020-08-18,27.63
"2017-0434","Pine","Sturgeon",58006700,2020,"EWM","ProcellaCOR EC",2020-08-18,2020-08-18,8.43
"2017-0434","Pine","Sturgeon",58006700,2022,"EWM","ProcellaCOR EC",2022-07-29,2022-07-29,42.69
"2017-0434","Pine","Sturgeon",58006700,2025,"EWM","ProcellaCOR EC",2025-08-20,2025-08-20,5.92
"2017-0437","Pine","Sand",58008100,2020,"EWM","ProcellaCOR EC",2020-08-18,2020-08-18,10
"2017-0437","Pine","Sand",58008100,2022,"EWM","ProcellaCOR EC",2022-07-29,2022-07-29,13.95
"2017-0442","Sherburne","Big",71008200,2020,"EWM","2,4-D Amine",2020-07-17,2020-07-17,1.65
"2017-0442","Sherburne","Big",71008200,2023,"EWM","ProcellaCOR EC",2023-07-21,2023-07-21,4.5
"2017-0445","Sherburne","Big",71008200,2020,"EWM","2,4-D Amine",2020-07-17,2020-07-17,6.4
"2017-0445","Sherburne","Mitchell",71008100,2020,"EWM","2,4-D Amine",2020-07-17,2020-07-17,6.9
"2017-0447","Wright","Ann",86019000,2022,"CLP","Aquathol K",2024-05-23,2024-05-23,11.9
"2017-0447","Wright","Ann",86019000,2024,"CLP","Aquathol K",2024-05-14,2024-05-14,11.9
"2017-0511","Le Sueur","East Jefferson",40009201,2023,"CLP","Aquathol K",2023-05-09,2023-05-09,6.58
"2017-0512","Le Sueur","Jefferson",40009204,2021,"CLP","Aquathol K",2021-05-19,2021-05-19,29.9
"2017-0512","Le Sueur","Jefferson",40009204,2022,"CLP","Aquathol K",2022-05-18,2022-05-18,27.6
