Permit_number,County_name,Lake_parent_name,k_Lake_ID,App_year,species_code,Pesticide_trade_name,start_date,end_date,treatment_size,LAKE_NAME,LakeAreaAcres,Percentage_15ft_LittoralZone,15ft_LittoralZone_Acres,ObservedLittoralZone_Acres,Percentage_ObservedLittoralZone,Depth_ObservedLittoralZone,TreatmentSize_PercentofLake,TreatmentSize_PercentofLittoral
2017-0038,Kanabec,Knife,33002800,2020,CLP,Aquathol K,5/27/2020,5/27/2020,31.2,Knife,1259.215,100,1259.21,177.06,14.06,5,2.477734144,17.62114537
2017-0038,Kanabec,Knife,33002800,2021,CLP,Aquathol K,5/5/2021,5/5/2021,24.28,Knife,1259.215,100,1259.21,177.06,14.06,5,1.928185417,13.7128657
2017-0040,Stearns,Cedar Island,73013300,2025,CLP,FlumigardSC,5/6/2025,5/6/2025,14,Cedar Island,985.77,76.59,755,76.59,755,15,1.420209582,18.27914871
2017-0045,Stearns,Horseshoe,73015700,2020,CLP,Aquathol K,5/21/2020,5/21/2020,5.4,Horseshoe,341.053,54.37,341.05,341.05,53.62,15,1.583331623,1.583345551
2017-0047,Stearns,Long,73013900,2020,CLP,Aquathol K,5/21/2020,5/21/2020,2,Long,331.225,67.2,331.23,331.23,67.2,15,0.603819156,0.603810041
2017-0109,Le Sueur,Sakatah,40000200,2020,CLP,Aquathol K,5/14/2020,5/14/2020,14.6,Upper Sakatah,899.567,99.79,899.57,417.21,46.28,6,1.623003067,3.499436734
2017-0109,Le Sueur,Upper Sakatah,40000200,2021,CLP,Aquathol K,5/12/2021,5/12/2021,21.2,Upper Sakatah,899.567,99.79,899.57,417.21,46.28,6,2.356689385,5.081373888
2017-0109,Le Sueur,Upper Sakatah,40000200,2022,CLP,Aquathol K,5/20/2022,5/20/2022,16.7,Upper Sakatah,899.567,99.79,899.57,417.21,46.28,6,1.856448714,4.002780374
2017-0120,Stearns,Knaus,73008600,2020,CLP,Aquathol K,5/21/2020,5/21/2020,4,Knaus,209.7,96.82,209.7,209.7,96.82,15,1.907486886,1.907486886
2017-0121,Stearns,Bolfing,73008800,2020,CLP,Aquathol K,5/21/2020,5/21/2020,1,Bolfing,67.37,62.99,67.37,67.37,62.99,15,1.484340211,1.484340211
2017-0122,Stearns,Krays,73008700,2020,CLP,Aquathol K,5/21/2020,5/21/2020,1.8,Krays,86.938,90.48,86.94,86.94,90.48,15,2.070441004,2.070393375
2017-0123,Stearns,Great Northern,73008300,2020,CLP,Aquathol K,5/21/2020,5/21/2020,1.7,Great Northern,185.346,92.21,185.35,185.35,92.21,15,0.9172035,0.917183707
2017-0125,Stearns,Zumwalde,73008900,2020,CLP,Aquathol K,5/21/2020,5/21/2020,1.7,Zumwalde,118.616,98.16,118.62,118.62,98.16,15,1.433196196,1.433147867
2017-0365,Meeker,Long,47017700,2020,CLP,Aquathol K,5/6/2020,5/6/2020,19,Long,787.031,100,787.03,787.03,100,15,2.414136165,2.414139232
2017-0365,Meeker,Long,47017700,2021,CLP,Aquathol K,5/12/2021,5/12/2021,18.5,Long,787.031,100,787.03,787.03,100,15,2.350606266,2.350609253
2017-0365,Meeker,Long,47017700,2021,CLP,Tribune,5/12/2021,5/12/2021,7,Long,787.031,100,787.03,787.03,100,15,0.889418587,0.889419717
2017-0365,Meeker,Long,47017700,2024,CLP,Tribune,5/8/2024,4/26/2025,97.6,Long,787.031,100,787.03,787.03,100,15,12.4010363,12.40105206
2017-0377,Otter Tail,Pelican,56078600,2022,CLP,Aquathol K,6/2/2022,6/2/2022,5.8,Pelican,1608.247,40.58,1608.25,2116.26,53.4,25,0.36064112,0.274068404
2017-0378,Otter Tail,Little Pelican,56076100,2022,CLP,Aquathol K,6/3/2022,6/3/2022,8.4,Little Pelican,366.1,69.93,256,69.93,256,15,2.294455067,12.01201201
2017-0384,Ramsey,Josephine,62005700,2020,"EWM, CLP",Sonar A.S.,4/30/2020,7/24/2020,351,Josephine,78.88,69.36,78.88,75.84,66.68,14,444.979716,462.8164557
2017-0389,Hennepin,Sarah,27019100,2021,CLP,Aquathol K,5/16/2021,5/16/2021,66.2,Sarah,557.23,66.94,373,66.94,373,15,11.8801931,98.89453242
2017-0389,Hennepin,Sarah,27019100,2021,CLP,Tribune,5/19/2021,5/23/2021,29.05,Sarah,557.23,66.94,373,66.94,373,15,5.213287153,43.397072
2017-0389,Hennepin,Sarah,27019100,2023,CLP,Tribune,5/23/2023,5/23/2023,4.4,Sarah,557.23,66.94,373,66.94,373,15,0.789620085,6.573050493
2017-0389,Hennepin,Sarah,27019100,2025,CLP,FlumigardSC,5/8/2025,5/8/2025,26.7,Sarah,557.23,66.94,373,66.94,373,15,4.791558243,39.88646549
2017-0389,Hennepin,Sarah,27019101,2022,CLP,Aquathol K,5/26/2022,5/26/2022,67.51,West Sarah,242.6,67.83,242.6,242.6,67.83,15,27.82769992,27.82769992
2017-039,Stearns,Schneider,73008200,2020,CLP,Aquathol K,5/21/2020,5/21/2020,1.7,Schneider,25.135,46.2,25.14,25.14,46.2,15,6.763477223,6.76213206
2017-0407,Carver,Lucy,10000700,2022,CLP,Tribune,5/17/2022,5/17/2022,7.7,Lucy,68.273,75.48,68.27,57.89,64,10,11.27825055,13.30108827
2017-0417,Scott,Lower Prior,70002600,2020,EWM,Tribune,6/3/2020,6/3/2020,5,Lower Prior,589.705,60.03,589.7,589.7,60.03,15,0.847881568,0.847888757
2017-0417,Scott,Lower Prior,70002600,2022,EWM,Tribune,6/10/2022,6/10/2022,5,Lower Prior,589.705,60.03,589.7,589.7,60.03,15,0.847881568,0.847888757
2017-0422,Sherburne,Big,71008200,2020,EWM,"2,4-D Amine",7/17/2020,7/17/2020,15,Big,116.407,45.67,116.41,145.03,56.9,20,12.88582302,10.34268772
2017-0434,Pine,Sturgeon,58006700,2020,EWM,"2,4-D Amine",8/18/2020,8/18/2020,27.63,Sturgeon,727.335,42.64,727.33,727.33,42.64,15,3.798799728,3.798825842
2017-0434,Pine,Sturgeon,58006700,2020,EWM,ProcellaCOR EC,8/18/2020,8/18/2020,8.43,Sturgeon,727.335,42.64,727.33,727.33,42.64,15,1.159025758,1.159033726
2017-0434,Pine,Sturgeon,58006700,2022,EWM,ProcellaCOR EC,7/29/2022,7/29/2022,42.69,Sturgeon,727.335,42.64,727.33,727.33,42.64,15,5.869372435,5.869412784
2017-0434,Pine,Sturgeon,58006700,2025,EWM,ProcellaCOR EC,8/20/2025,8/20/2025,5.92,Sturgeon,727.335,42.64,727.33,727.33,42.64,15,0.813930307,0.813935903
2017-0437,Pine,Sand,58008100,2020,EWM,ProcellaCOR EC,8/18/2020,8/18/2020,10,Sand,234.851,45.49,234.85,204.47,39.61,12,4.258018914,4.890693011
2017-0437,Pine,Sand,58008100,2022,EWM,ProcellaCOR EC,7/29/2022,7/29/2022,13.95,Sand,234.851,45.49,234.85,204.47,39.61,12,5.939936385,6.822516751
2017-0442,Sherburne,Big,71008200,2020,EWM,"2,4-D Amine",7/17/2020,7/17/2020,1.65,Big,116.407,45.67,116.41,145.03,56.9,20,1.417440532,1.137695649
