"","DOW","lake_name","SURVEY_START","year","month","doy","ceratophyllum_demersum","potamogeton_crispus","elodea_canadensis","heteranthera_dubia","najas_sp","potamogeton_foliosus","potamogeton_zosteriformis","ranunculus_aquatilis","stuckenia_pectinata","chara_sp","eleocharis_acicularis","myriophyllum_spicatum","myriophyllum_sibiricum","potamogeton_pusillus","potamogeton_richardsonii","vallisneria_americana","potamogeton_nodosus","zannichellia_palustris","potamogeton_praelongus","potamogeton_amplifolius","elodea_sp","potamogeton_robbinsii","myriophyllum_spicatum_x_sibiricum","nitella_sp","myriophyllum_sp","potamogeton_illinoensis","utricularia_vulgaris","najas_flexilis","potamogeton_friesii","aquatic_moss","potamogeton_gramineus","utricularia_gibba","najas_guadalupensis","lychnothamnus_barbatus","ceratophyllum_echinatum","utricularia_minor","utricularia_macrorhiza","elodea_nuttallii","najas_gracillima","potamogeton_obtusifolius","potamogeton_sp","potamogeton_epihydrus","utricularia_sp","potamogeton_strictifolius","nitellopsis_obtusa","fontinalis_sp","tolypella_intricata","chara_globularis","nitella_flexilis","veronica_catenata","utricularia_intermedia","bidens_beckii","myriophyllum_alterniflorum","hippuris_vulgaris","isoetes_echinospora","stuckenia_filiformis","nitella_mucronata","potamogeton_perfoliatus","potamogeton_pulcher","drepanocladus_sp","najas_minor","nitella_furcata","juncus_pelocarpus","nitella_tenuissima","ranunculus_sp","myriophyllum_verticillatum","najas_marina","stuckenia_vaginata","fontinalis_antipyretica","potamogeton_alpinus","ranunculus_flabellaris","chara_contraria","chara_braunii","ranunculus_flammula","nitella_macounii","isoetes_lacustris","lobelia_dortmanna","myriophyllum_tenellum","utricularia_geminiscapa","potamogeton_spirillus","callitriche_sp","ceratophyllum_sp","chara_canescens","characeae_taxa","drepanocladus_aduncus","elatine_sp","elatine_minima","eleocharis_sp","eleocharis_robbinsii","eriocaulon_aquaticum","fontinalis_sullivantii","isoetes_sp","littorella_uniflora","myriophyllum_farwellii","nitellopsis_sp","potamogeton_bicupulatus","potamogeton_diversifolius","potamogeton_hillii","potamogeton_vaseyi","ruppia_cirrhosa","schoenoplectus_subterminalis","scorpidium_scorpioides","stuckenia_sp","utricularia_purpurea","veronica_americana","heteranthera_sp","vallisneria_sp","taxa_rich","vegetated","EWM","native_rich","native_vegetated","survey_taxa_rich","survey_native_rich","LK_LZACRES","survey_id"
"1","10000200",NA,2023-05-18,2023,5,138,0.47093023255814,0.261627906976744,0.0232558139534884,0.156976744186047,0,0,0,0,0,0.11046511627907,0,0.0174418604651163,0,0.0581395348837209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09883720930233,0.796511627906977,0.0174418604651163,0.819767441860465,0.796511627906977,7,5,110.08,72
"2","10000200",NA,2023-06-19,2023,6,170,0.394444444444444,0.294444444444444,0.0277777777777778,0.188888888888889,0,0,0,0,0.0666666666666667,0.233333333333333,0,0.0222222222222222,0,0.0722222222222222,0,0,0.0722222222222222,0,0,0,0,0,0,0,0,0,0,0.0888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46111111111111,0.877777777777778,0.0222222222222222,1.14444444444444,0.877777777777778,10,8,110.08,73
"3","10000200",NA,2023-08-22,2023,8,234,0.485380116959064,0.064327485380117,0.00584795321637427,0.309941520467836,0,0,0,0,0.0233918128654971,0.0994152046783626,0,0.0292397660818713,0,0.0760233918128655,0,0,0.0994152046783626,0,0,0,0,0,0,0,0,0,0,0.198830409356725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39181286549708,0.842105263157895,0.0292397660818713,1.29824561403509,0.842105263157895,10,8,110.08,74
"4","10000900",NA,2025-07-10,2025,7,191,0.640625,0.265625,0.015625,0.1640625,0,0,0.4921875,0,0.1484375,0.125,0,0.0234375,0.265625,0,0.34375,0.1328125,0,0,0,0.140625,0,0,0.046875,0,0,0.09375,0.1171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.015625,0.8984375,0.0546875,2.6796875,0.8984375,15,12,337.89,76
"5","10001300",NA,2023-05-15,2023,5,135,0.28125,0.229166666666667,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59375,0.427083333333333,0,0.364583333333333,0.427083333333333,3,2,71.99,90
"6","10001300",NA,2023-06-13,2023,6,164,0.106870229007634,0.122137404580153,0,0,0,0,0,0,0,0.00763358778625954,0,0,0,0.0534351145038168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290076335877863,0.213740458015267,0,0.16793893129771,0.213740458015267,4,3,71.99,91
"7","10001300",NA,2023-08-16,2023,8,228,0.130769230769231,0,0.00769230769230769,0.0230769230769231,0,0,0,0,0.0307692307692308,0,0,0,0,0.0230769230769231,0,0,0.00769230769230769,0,0,0,0,0,0,0,0,0,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261538461538462,0.176923076923077,0,0.261538461538462,0.176923076923077,7,7,71.99,92
"8","13002700","South Center",2025-06-12,2025,6,163,0.282258064516129,0.846774193548387,0,0,0,0,0.0161290322580645,0,0.00806451612903226,0.032258064516129,0,0.0403225806451613,0.0241935483870968,0,0.0161290322580645,0.0645161290322581,0,0,0.00806451612903226,0,0.0483870967741935,0.032258064516129,0.161290322580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58064516129032,0.870967741935484,0.17741935483871,0.532258064516129,0.870967741935484,13,10,544.51,161
"9","13002700","South Center",2025-08-04,2025,8,216,0.170731707317073,0.016260162601626,0,0,0,0.024390243902439,0.0284552845528455,0,0,0.0365853658536585,0,0.0121951219512195,0.0447154471544715,0,0.024390243902439,0.101626016260163,0,0,0.0040650406504065,0,0.032520325203252,0.0487804878048781,0.0365853658536585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58130081300813,0.321138211382114,0.0365853658536585,0.516260162601626,0.321138211382114,13,10,544.51,162
"10","13002700",NA,2023-08-01,2023,8,213,0.606194690265487,0.00442477876106195,0,0,0,0.00884955752212389,0.0442477876106195,0,0,0,0,0,0,0,0.0442477876106195,0.0929203539823009,0,0,0.0132743362831858,0,0,0.132743362831858,0.345132743362832,0,0,0,0,0.00442477876106195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00442477876106195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884955752212389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30973451327434,0.716814159292035,0.345132743362832,0.960176991150443,0.716814159292035,12,10,544.51,175
