permit_number,treatment_year,treatment_id,target_species,chemical,chem_unit,start_date,end_date,treatment_size,avg_depth,avg_vol_rate,avg_areal_rate,amount_total,water_temp_low,water_temp_high,wind_speed_low,wind_speed_high,air_temp_low,air_temp_high,avg_speed,wind_dir,active_ing
2017-0038,2020,P_1,CLP,Aquathol K,gal,2020-05-27,2020-05-27,31.2,5,1,5,156,NA,NA,1,4,NA,NA,2.5,NW,Endothall
2017-0038,2021,P_2,CLP,Aquathol K,gal,2021-05-05,2021-05-05,24.28,4.4,0.64,2.82,68.5,52,52,4,4,45,45,4,SW,Endothall
2017-0038,2022,P_3,CLP,Aquathol K,gal,2023-05-23,2023-05-23,50.3,5.5,1,5.49,276,NA,NA,0,3,NA,NA,1.5,SSW,Endothall
2017-0040,2025,P_4,CLP,FlumigardSC,gal,2025-05-06,2025-05-06,14,3.9,0.14,0.56,7.9,66,66,1,1,70,70,1,SE,Flumioxazin
2017-0045,2020,P_5,CLP,Aquathol K,gal,2020-05-21,2020-05-21,5.4,3.1,1.3,4.03,21.76,61,61,5,5,61,61,5,SE,Endothall
2017-0047,2020,P_6,CLP,Aquathol K,gal,2020-05-21,2020-05-21,2,2.5,1.3,3.25,6.5,61,61,5,5,61,61,5,SE,Endothall
2017-0109,2020,P_7,CLP,Aquathol K,gal,2020-05-14,2020-05-14,14.6,5.4,0.66,3.56,51.92,57,57,5.1,5.9,70,70,5.6,NW,Endothall
2017-0109,2021,P_8,CLP,Aquathol K,gal,2021-05-12,2021-05-12,21.2,4,0.6,2.41,51,NA,NA,4,7,NA,NA,5.5,W,Endothall
2017-0109,2022,P_9,CLP,Aquathol K,gal,2022-05-20,2022-05-20,16.7,4,0.6,2.4,40,NA,NA,9,11,NA,NA,10,WSW,Endothall
2017-0120,2020,P_10,CLP,Aquathol K,gal,2020-05-21,2020-05-21,4,5.5,1.3,7.15,28.6,61,61,5,5,61,61,5,SE,Endothall
2017-0121,2020,P_11,CLP,Aquathol K,gal,2020-05-21,2020-05-21,1,7,1.3,9.1,9.1,61,61,5,5,61,61,5,SE,Endothall
2017-0122,2020,P_12,CLP,Aquathol K,gal,2020-05-21,2020-05-21,1.8,3.6,1.3,4.68,8.42,61,61,5,5,61,61,5,SE,Endothall
2017-0123,2020,P_13,CLP,Aquathol K,gal,2020-05-21,2020-05-21,1.7,4.9,1.3,6.37,10.83,61,61,5,5,61,61,5,SE,Endothall
2017-0125,2020,P_14,CLP,Aquathol K,gal,2020-05-21,2020-05-21,1.7,4,1.3,5.2,8.84,61,61,5,5,61,61,5,SE,Endothall
2017-0365,2020,P_15,CLP,Aquathol K,gal,2020-05-06,2020-05-06,19,4,0.6,2.4,45.6,58,58,7,7,55,55,7,NW,Endothall
2017-0365,2021,P_16,CLP,Aquathol K,gal,2021-05-12,2021-05-12,18.5,3.4,0.64,2.19,40.5,58,58,2,2,51,51,2,SW,Endothall
2017-0365,2021,P_17,CLP,Tribune,gal,2021-05-12,2021-05-12,7,4.8,0.42,2,14,58,58,2,2,51,51,2,SW,Diquat Dibromide
2017-0365,2024,P_18,CLP,Tribune,gal,2024-05-08,2024-05-08,48.8,4.2,0.25,1.04,50.92,NA,NA,8,8,NA,NA,7.4,ESE,Diquat Dibromide
2017-0365,2024,P_19,CLP,Tribune,gal,2025-04-26,2025-04-26,48.8,4.2,0.25,1.04,50.93,NA,NA,5,6,NA,NA,5.8,SE,Diquat Dibromide
2017-0377,2022,P_20,CLP,Aquathol K,gal,2022-06-02,2022-06-02,5.8,10,1.89,18.93,109.8,59,59,8,8,63,63,8,W,Endothall
2017-0378,2022,P_21,CLP,Aquathol K,gal,2022-06-03,2022-06-03,8.4,10,1.47,14.67,123.2,60,60,8,8,47,47,8,W,Endothall
2017-0384,2020,P_22,"EWM, CLP",Sonar A.S.,gal,2020-04-30,2020-04-30,117,8.5,0,0.03,3.81,NA,NA,4,4,66,66,4,SE,Fluridone
2017-0384,2020,P_23,"EWM, CLP",Sonar A.S.,gal,2020-06-17,2020-06-17,117,8.5,0,0.02,1.89,NA,NA,9,9,86,86,9,SE,Fluridone
2017-0384,2020,P_24,"EWM, CLP",Sonar A.S.,gal,2020-07-24,2020-07-24,117,8.5,0,0.02,1.93,NA,NA,4,4,77,77,4,SSE,Fluridone
2017-0389,2021,P_25,CLP,Aquathol K,gal,2021-05-16,2021-05-16,66.2,4.3,0.58,2.48,164.2,NA,NA,0,5,NA,NA,4.5,SE,Endothall
2017-0389,2021,P_26,CLP,Tribune,gal,2021-05-19,2021-05-23,29.05,4.6,0.5,2.28,66.3,NA,NA,0,3,NA,NA,3,SE,Diquat Dibromide
2017-0389,2022,P_27,CLP,Aquathol K,gal,2022-05-26,2022-05-26,67.51,8,0.14,1.13,76.56,NA,NA,0,5,NA,NA,2.5,E,Endothall
