"","fieldNames","Explanation","Taxonomic","VEGETATION_ID","ORIGIN"
"1","acorus_americanus","","Y","E","native"
"2","acorus_sp","""_sp"" indicates an unknown species within a given genus, as indicated by the surveyor, not MAISRC","Y",NA,NA
"3","algae","","Y",NA,NA
"4","alisma_sp","""_sp"" indicates an unknown species within a given genus, as indicated by the surveyor, not MAISRC","Y","E","native"
"5","alisma_triviale","","Y","E","native"
"6","alnus_sp","""_sp"" indicates an unknown species within a given genus, as indicated by the surveyor, not MAISRC","Y","WE","native"
"7","andromeda_polifolia","","Y",NA,NA
"8","aquatic_moss","Generally Drepanocladus sp or Fontinalis sp","Y",NA,NA
"9","asclepias_incarnata","","Y",NA,NA
"10","asteraceae_taxa","""_taxa"" indicates an unknown taxon within a given family, as indicated by the surveyor, not MAISRC","Y",NA,NA
"11","azolla_microphylla","","Y",NA,NA
"12","betula_pumila","","Y","WE","native"
"13","bidens_beckii","","Y","SV","native"
"14","bidens_cernua","","Y","WE","native"
"15","bidens_sp","""_sp"" indicates an unknown species within a given genus, as indicated by the surveyor, not MAISRC","Y","WE","native"
"16","bolboschoenus_fluviatilis","","Y","E","native"
"17","bolboschoenus_maritimus","","Y",NA,NA
"18","boltonia_asteroides","","Y","WE","native"
"19","brasenia_schreberi","","Y","F","native"
"20","butomus_umbellatus","","Y","E","nonnative"
"21","calamagrostis_canadensis","","Y","WE","native"
"22","calla_palustris","","Y","E","native"
"23","callitriche_sp","""_sp"" indicates an unknown species within a given genus, as indicated by the surveyor, not MAISRC","Y","SV","native"
"24","caltha_palustris","","Y","WE","native"
"25","carex_aquatilis","","Y","WE","native"
"26","carex_comosa","","Y","WE","native"
"27","carex_lacustris","","Y","WE","native"
"28","carex_pellita","","Y",NA,NA
"29","carex_scoparia","","Y",NA,NA
"30","carex_sp","""_sp"" indicates an unknown species within a given genus, as indicated by the surveyor, not MAISRC","Y","WE","native"
"31","carex_stricta","","Y","WE","native"
"32","ceratophyllum_demersum","","Y","SV","native"
"33","ceratophyllum_echinatum","","Y","SV","native"
"34","ceratophyllum_sp","""_sp"" indicates an unknown species within a given genus, as indicated by the surveyor, not MAISRC","Y","SV","native"
"35","chamaedaphne_calyculata","","Y","WE","native"
"36","chara_braunii","","Y","SA_C","native"
"37","chara_canescens","","Y",NA,NA
